Hmm	ORF	tlen	qlen	Eval	score	start	end	Acc	Pos	Cov_seq	Cov_hmm	strand
2OG_1_CAS-I-II-III-IV-V-VI	k141_1466_414	606	94	0.024	13.1	469831	471648	k141_1466	414	0.07095709570957096	0.3829787234042553	1
2OG_1_CAS-I-II-III-IV-V-VI	k141_1466_418	421	94	2.1e-15	55.0	478115	479377	k141_1466	418	0.24465558194774348	0.9787234042553191	-1
2OG_1_CAS-I-II-III-IV-V-VI	k141_1466_78	208	94	3.6e-17	60.6	74458	75081	k141_1466	78	0.44711538461538464	0.9468085106382979	1
2OG_1_CAS-I-II-III-IV-V-VI	k141_2321_109	243	94	1.5e-11	42.6	136812	137540	k141_2321	109	0.37037037037037035	0.9574468085106383	-1
2OG_1_CAS-I-II-III-IV-V-VI	k141_3434_25	203	94	9.3e-20	68.9	31180	31788	k141_3434	25	0.5221674876847291	1.0	-1
2OG_1_CAS-I-II-III-IV-V-VI	k141_3434_340	236	94	5.3e-10	37.7	398032	398739	k141_3434	340	0.4449152542372881	0.9680851063829787	-1
2OG_1_CAS-I-II-III-IV-V-VI	k141_921_213	369	94	3.6e-15	54.2	215947	217053	k141_921	213	0.22764227642276422	0.9361702127659575	1
2OG_1_CAS-I-II-III-IV-V-VI	k141_921_258	257	94	0.014	13.8	257748	258518	k141_921	258	0.45525291828793774	0.8936170212765957	-1
AbiEii_0_CAS-III	k141_1038_14	267	284	0.0034	14.7	13297	14097	k141_1038	14	0.31835205992509363	0.2852112676056338	1
AbiEii_0_CAS-III	k141_1466_180	395	284	0.018	12.3	213830	215014	k141_1466	180	0.24050632911392406	0.33098591549295775	-1
AbiEii_0_CAS-III	k141_1466_355	614	284	0.00097	16.5	400476	402317	k141_1466	355	0.1254071661237785	0.2676056338028169	1
AbiEii_0_CAS-III	k141_1466_371	325	284	1.3e-07	29.2	418581	419555	k141_1466	371	0.31076923076923074	0.34507042253521125	1
AbiEii_0_CAS-III	k141_1466_50	246	284	0.0022	15.4	41574	42311	k141_1466	50	0.46747967479674796	0.3591549295774648	-1
AbiEii_0_CAS-III	k141_1779_89	441	284	0.0023	15.3	86599	87921	k141_1779	89	0.05895691609977324	0.08450704225352113	-1
AbiEii_0_CAS-III	k141_2321_131	228	284	5.4e-05	20.6	161802	162485	k141_2321	131	0.45614035087719296	0.352112676056338	1
AbiEii_0_CAS-III	k141_2321_207	595	284	0.0013	16.1	244344	246128	k141_2321	207	0.09747899159663866	0.19718309859154928	-1
AbiEii_0_CAS-III	k141_2321_287	572	284	0.0016	15.8	329067	330782	k141_2321	287	0.3548951048951049	0.3908450704225352	1
AbiEii_0_CAS-III	k141_2321_425	220	284	0.04	11.2	490162	490821	k141_2321	425	0.22727272727272727	0.17253521126760563	1
AbiEii_0_CAS-III	k141_2321_480	605	284	3.9e-10	37.5	548061	549875	k141_2321	480	0.32727272727272727	0.397887323943662	1
AbiEii_0_CAS-III	k141_2321_490	351	284	0.014	12.7	556657	557709	k141_2321	490	0.07122507122507123	0.0880281690140845	1
AbiEii_0_CAS-III	k141_2321_584	237	284	0.00016	19.1	657805	658515	k141_2321	584	0.4177215189873418	0.323943661971831	1
AbiEii_0_CAS-III	k141_2321_83	306	284	0.0076	13.6	106813	107730	k141_2321	83	0.38235294117647056	0.41901408450704225	1
AbiEii_0_CAS-III	k141_2876_108	258	284	0.00066	17.1	110862	111635	k141_2876	108	0.3062015503875969	0.2640845070422535	1
AbiEii_0_CAS-III	k141_2876_29	1199	284	0.0046	14.3	26917	30513	k141_2876	29	0.045871559633027525	0.19014084507042253	1
AbiEii_0_CAS-III	k141_2876_305	228	284	0.0006	17.2	325684	326367	k141_2876	305	0.14473684210526316	0.13732394366197184	1
AbiEii_0_CAS-III	k141_2876_344	348	284	1.3e-08	32.5	370358	371401	k141_2876	344	0.27586206896551724	0.323943661971831	1
AbiEii_0_CAS-III	k141_2876_623	229	284	0.0011	16.3	651778	652464	k141_2876	623	0.4017467248908297	0.30985915492957744	-1
AbiEii_0_CAS-III	k141_2964_11	585	284	8.8e-05	19.9	15460	17214	k141_2964	11	0.15555555555555556	0.30633802816901406	-1
AbiEii_0_CAS-III	k141_3002_98	365	284	4e-06	24.4	100745	101839	k141_3002	98	0.32602739726027397	0.397887323943662	1
AbiEii_0_CAS-III	k141_3399_21	572	284	1.9e-08	32.0	17945	19660	k141_3399	21	0.2062937062937063	0.25704225352112675	-1
AbiEii_0_CAS-III	k141_3434_161	232	284	0.00038	17.9	196533	197228	k141_3434	161	0.3620689655172414	0.29577464788732394	-1
AbiEii_0_CAS-III	k141_3434_268	311	284	0.00093	16.6	323974	324906	k141_3434	268	0.2315112540192926	0.24647887323943662	1
AbiEii_0_CAS-III	k141_3434_308	557	284	3.7e-07	27.7	362558	364228	k141_3434	308	0.20287253141831238	0.34507042253521125	1
AbiEii_0_CAS-III	k141_3434_64	266	284	3.1e-05	21.4	76435	77232	k141_3434	64	0.30451127819548873	0.2852112676056338	1
AbiEii_0_CAS-III	k141_3434_81	220	284	9.7e-05	19.8	99058	99717	k141_3434	81	0.2772727272727273	0.2112676056338028	1
AbiEii_0_CAS-III	k141_921_251	243	284	0.00096	16.5	250314	251042	k141_921	251	0.24279835390946503	0.2007042253521127	-1
AbiEii_0_CAS-III	k141_921_271	633	284	1.3e-09	35.8	273987	275885	k141_921	271	0.3459715639810427	0.44014084507042256	1
AbiEii_0_CAS-III	k141_921_332	297	284	2.8e-05	21.6	342940	343830	k141_921	332	0.31313131313131315	0.31338028169014087	-1
AbiEii_0_CAS-III	k141_921_477	251	284	0.0011	16.3	507662	508414	k141_921	477	0.38247011952191234	0.3204225352112676	-1
AbiEii_0_CAS-III	k141_921_57	389	284	0.0013	16.1	60515	61681	k141_921	57	0.14395886889460155	0.2147887323943662	1
AbiEii_0_CAS-III	k141_921_82	227	284	0.017	12.5	87433	88113	k141_921	82	0.31277533039647576	0.24295774647887325	1
AbiEii_1_CAS-III-A	k141_1038_14	267	335	3.6e-05	20.8	13297	14097	k141_1038	14	0.32209737827715357	0.2626865671641791	1
AbiEii_1_CAS-III-A	k141_2321_480	605	335	0.015	12.2	548061	549875	k141_2321	480	0.11239669421487604	0.11343283582089553	1
AbiEii_1_CAS-III-A	k141_3434_64	266	335	0.053	10.4	76435	77232	k141_3434	64	0.2631578947368421	0.208955223880597	1
AbiEii_2_CAS-III-C	k141_2876_395	575	440	0.00027	18.0	415767	417491	k141_2876	395	0.18434782608695652	0.2409090909090909	1
AbiEii_2_CAS-III-C	k141_2876_623	229	440	0.029	11.3	651778	652464	k141_2876	623	0.11790393013100436	0.06136363636363636	-1
AbiEii_2_CAS-III-C	k141_921_82	227	440	0.0045	14.0	87433	88113	k141_921	82	0.3303964757709251	0.17045454545454544	1
Cas10_1_CAS-III	k141_1466_6	110	654	0.027	10.8	3294	3623	k141_1466	6	0.5272727272727272	0.09327217125382263	-1
Cas11b_0_CAS-I-B	k141_2710_13	442	170	0.028	12.0	9441	10766	k141_2710	13	0.3416289592760181	0.5588235294117647	-1
Cas12f2_1_CAS-V-F	k141_1466_6	110	422	1.5e-05	22.0	3294	3623	k141_1466	6	0.3090909090909091	0.08293838862559241	-1
Cas12f2_2_CAS-V-F	k141_921_330	378	493	0.046	10.1	341065	342198	k141_921	330	0.15873015873015872	0.11764705882352941	1
Cas12l_0_V-L	k141_2876_77	662	857	0.031	9.9	75874	77859	k141_2876	77	0.07250755287009064	0.052508751458576426	1
