Contig	Start	End	Strand	Pos
k63_772932	68	418	-1	1
k63_772932	435	2177	-1	2
k63_772932	2167	2433	-1	3
k63_772986	199	1092	-1	1
k63_772986	1289	2473	1	2
k63_772986	2537	2803	1	3
k63_772986	2917	3540	1	4
k63_96912	105	437	1	1
k63_96912	552	1661	-1	2
k63_96912	2007	3458	-1	3
k63_96912	3748	5019	1	4
k63_96912	5293	5400	1	5
k63_869711	1277	2761	1	1
k63_869711	2758	5349	1	2
k63_193648	874	4461	1	1
k63_1159694	273	527	1	1
k63_1159694	527	931	1	2
k63_1159694	950	2107	-1	3
k63_649	54	1376	1	1
k63_649	1660	1743	1	2
k63_483868	2	715	1	1
k63_483868	1194	1766	1	2
k63_870208	322	1692	1	1
k63_870208	1692	2417	1	2
k63_870208	3054	3869	1	3
k63_967135	223	765	1	1
k63_967135	908	1153	1	2
k63_967135	1147	1596	1	3
k63_967135	1800	3056	1	4
k63_967135	3179	3883	1	5
k63_967135	4136	4975	-1	6
k63_967135	5154	7496	1	7
k63_967135	7493	8023	1	8
k63_967135	8020	10071	1	9
k63_580923	3	623	-1	1
k63_580923	668	763	-1	2
k63_580923	1096	2154	1	3
k63_580923	2271	3383	1	4
k63_580923	3395	5155	1	5
k63_580923	5044	5289	-1	6
k63_194141	262	1281	1	1
k63_194141	1278	2084	1	2
k63_194141	2095	2514	1	3
k63_194141	2511	2915	1	4
k63_194141	3096	3488	-1	5
k63_194141	3490	3759	-1	6
k63_194141	3774	4034	1	7
k63_194141	4056	4478	1	8
k63_194141	4504	4743	1	9
k63_194141	5216	5863	-1	10
k63_194143	75	506	-1	1
k63_194143	580	1017	1	2
k63_194143	1064	3502	-1	3
k63_97769	1	318	1	1
k63_97769	297	1619	-1	2
k63_967382	2	94	1	1
k63_967382	290	517	-1	2
k63_967382	581	1246	-1	3
k63_967382	1273	2763	-1	4
k63_967382	2839	3021	-1	5
k63_1256760	2	91	1	1
k63_1256760	326	1213	-1	2
k63_1256760	1384	2265	-1	3
k63_1256760	2411	2503	1	4
k63_967569	2	1504	-1	1
k63_870866	407	1786	1	1
