Contig	Operon	Start	End	Prediction	Complete_Interference	Complete_Adaptation	Best_type	Best_score	Genes	Positions	E-values	CoverageSeq	CoverageHMM	Strand_Interference	Strand_Adaptation
k63_883409	k63_883409@1	1008	2117	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[3]	['9.00e-07']	[0.422]	[0.553]	NA	NA
k63_1498595	k63_1498595@1	1875	2597	False	0%	0%	I-A	0.0	['2OG_1_CAS-I-II-III-IV-V-VI']	[4]	['1.20e-03']	[0.402]	[0.713]	NA	NA
k63_55829	k63_55829@1	4857	5654	False	0%	NA	IV-B	3.0	['CysH_0_IVB']	[4]	['1.80e-07']	[0.59]	[0.594]	NA	NA
k63_677748	k63_677748@1	1757	2761	False	0%	NA	III-A	1.0	['TPR_1_CAS-III-A']	[3]	['1.60e-06']	[0.57]	[0.387]	NA	NA
k63_1532643	k63_1532643@1	6137	7006	False	0%	0%	I-A	0.0	['2OG_1_CAS-I-II-III-IV-V-VI']	[8]	['2.70e-04']	[0.369]	[0.83]	NA	NA
k63_221446	k63_221446@1	465	1913	False	0%	NA	III-A	1.0	['TPR_1_CAS-III-A']	[2]	['7.10e-09']	[0.445]	[0.327]	NA	NA
k63_322039	k63_322039@1	736	1467	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[2]	['2.30e-03']	[0.357]	[0.306]	NA	NA
k63_1399017	k63_1399017@1	768	2383	False	0%	0%	I-A	0.0	['2OG_1_CAS-I-II-III-IV-V-VI', '2OG_1_CAS-I-II-III-IV-V-VI']	[2, 3]	['1.70e-03', '1.30e-03']	[0.395, 0.42]	[0.83, 0.947]	NA	NA
k63_983165	k63_983165@1	1	2068	False	0%	100%	I-A	5.0	['Cas4_0_I-II', 'Cas1_0_CAS-I-II-III-IV-V-VI', 'Cas2_2_CAS-I-II-III-IV-V-VI']	[1, 2, 3]	['1.70e-30', '6.10e-61', '8.70e-19']	[0.427, 0.863, 0.72]	[0.978, 0.457, 0.848]	NA	1
k63_119963	k63_119963@1	3458	4207	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[5]	['2.10e-07']	[0.408]	[0.359]	NA	NA
k63_883195	k63_883195@1	537	1331	False	0%	0%	I-A	0.0	['2OG_1_CAS-I-II-III-IV-V-VI']	[2]	['1.10e-03']	[0.389]	[0.755]	NA	NA
k63_980013	k63_980013@1	60	929	False	0%	0%	I-A	0.0	['2OG_1_CAS-I-II-III-IV-V-VI']	[1]	['9.90e-03']	[0.348]	[0.691]	NA	NA
k63_529133	k63_529133@1	335	2071	False	0%	NA	III-B	1.0	['TPR_0_CAS-III-B']	[2]	['2.90e-21']	[0.786]	[0.584]	NA	NA
k63_478555	k63_478555@1	2812	4347	False	14%	0%	I-A	2.0	['Cas3_0_CAS-I']	[3]	['5.00e-11']	[0.604]	[0.782]	-1	NA
k63_221373	k63_221373@1	957	1547	False	0%	0%	I-A	0.0	['Csa3_1_CAS-I-II-III-IV-V-VI']	[3]	['6.60e-03']	[0.36]	[0.619]	NA	NA
k63_653704	k63_653704@1	2276	3772	False	0%	NA	III-A	1.0	['TPR_1_CAS-III-A']	[3]	['1.60e-05']	[0.559]	[0.325]	NA	NA
k63_1027655	k63_1027655@1	823	1671	False	0%	NA	IV-B	3.0	['CysH_0_IVB']	[1]	['1.60e-08']	[0.417]	[0.462]	NA	NA
k63_1080926	k63_1080926@1	287	1735	False	0%	NA	III-A	1.0	['TPR_1_CAS-III-A']	[2]	['9.10e-03']	[0.375]	[0.346]	NA	NA
k63_842930	k63_842930@1	1521	2240	False	0%	NA	III-A	1.0	['TPR_1_CAS-III-A']	[2]	['9.10e-06']	[0.483]	[0.359]	NA	NA
k63_495854	k63_495854@1	3	797	False	0%	33%	I-A	2.0	['Cas4_0_CAS-I-II-III-IV-V-VI']	[1]	['3.90e-08']	[0.385]	[0.542]	NA	-1
k63_806991	k63_806991@1	1182	3512	False	14%	0%	I-A	2.0	['Cas3_1_CAS-I']	[3]	['7.80e-69']	[0.606]	[0.58]	1	NA
k63_693363	k63_693363@1	2046	3251	False	0%	NA	III-B	1.0	['TPR_0_CAS-III-B']	[4]	['1.10e-29']	[0.873]	[0.334]	NA	NA
