Contig	Start	End	Strand	Pos
k83_3673	1	858	1	1
k83_3673	855	1670	1	2
k83_3673	1820	2377	1	3
k83_3673	2414	3439	-1	4
k83_3673	3436	4329	-1	5
k83_3834	3	1067	-1	1
k83_3834	1199	2992	-1	2
k83_3834	3011	3973	-1	3
k83_3834	3966	5369	-1	4
k83_3834	5396	6577	-1	5
k83_6405	3	1364	-1	1
k83_6405	1479	1964	-1	2
k83_6405	1978	2226	-1	3
k83_6986	3	1181	-1	1
k83_6986	1178	1951	-1	2
k83_9471	139	573	1	1
k83_9471	534	1502	1	2
k83_9471	1499	2302	1	3
k83_9471	2299	3111	1	4
k83_10757	27	1463	-1	1
k83_10757	1488	1793	-1	2
k83_13506	2	592	-1	1
k83_13506	730	1530	1	2
k83_13506	1561	1848	-1	3
k83_13947	3	365	-1	1
k83_13947	472	2037	-1	2
k83_13947	2090	2557	-1	3
k83_13947	2612	3562	1	4
k83_13947	3563	4342	1	5
k83_13947	4342	5157	1	6
k83_13947	5199	5351	1	7
k83_14878	3	1145	-1	1
k83_14878	1215	1709	1	2
k83_15968	3	101	-1	1
k83_15968	124	1371	1	2
k83_15968	1420	2808	1	3
k83_15968	2777	3310	-1	4
k83_15968	3320	3874	-1	5
k83_18230	1	1257	1	1
k83_18230	1254	2447	1	2
k83_18230	2444	3727	1	3
k83_18230	3755	4786	1	4
k83_18472	3	1079	-1	1
k83_18472	1277	1768	-1	2
k83_18472	1772	2356	-1	3
k83_18472	2353	2763	-1	4
k83_18472	2812	3129	1	5
k83_18472	3126	3602	1	6
k83_20913	3	536	-1	1
k83_20913	591	3023	-1	2
k83_20913	3020	3643	-1	3
k83_20913	3640	4587	-1	4
k83_20913	4580	4756	-1	5
k83_21242	1	432	1	1
k83_21242	422	976	1	2
k83_21242	973	2067	-1	3
k83_21242	2103	2672	1	4
k83_23737	156	608	-1	1
k83_23737	706	1362	-1	2
k83_23737	1396	1836	-1	3
k83_24510	2	460	-1	1
k83_24510	586	1503	1	2
k83_24510	1507	2523	1	3
k83_24970	3	458	-1	1
k83_24970	455	862	-1	2
k83_24970	862	2739	-1	3
k83_24970	2802	3902	-1	4
k83_25135	2	403	1	1
k83_25135	416	1696	1	2
k83_25135	1814	3424	1	3
k83_25135	3421	3819	-1	4
k83_25572	3	188	-1	1
k83_25572	296	934	1	2
k83_25572	942	3041	-1	3
k83_25572	3239	4042	-1	4
k83_25572	4076	4987	-1	5
k83_25572	5029	6225	-1	6
k83_25572	6253	6486	-1	7
k83_25971	2	169	-1	1
k83_25971	384	2171	1	2
k83_28152	3	1685	-1	1
k83_28152	1682	3013	-1	2
k83_29679	2	835	-1	1
k83_29679	836	1510	-1	2
k83_29946	2	1546	-1	1
k83_29946	1561	1728	-1	2
k83_29946	1744	2433	-1	3
k83_29946	2426	3493	-1	4
k83_29946	3564	4346	-1	5
k83_31521	119	565	-1	1
k83_31521	562	3762	-1	2
k83_31521	3759	4262	-1	3
k83_31521	4377	4709	1	4
k83_31521	4722	5642	1	5
k83_31521	5653	5952	-1	6
k83_31521	5952	6101	-1	7
k83_31587	3	893	1	1
k83_31587	890	1741	-1	2
k83_31587	1833	2189	-1	3
k83_31587	2418	3110	1	4
k83_31587	3111	3500	1	5
k83_34054	1	1095	1	1
k83_34054	1285	2358	1	2
k83_34054	2393	2491	-1	3
k83_35368	1	171	-1	1
k83_35368	168	545	-1	2
k83_35368	548	1726	-1	3
k83_35368	1726	2163	-1	4
k83_35368	2323	5004	1	5
k83_35368	5142	5384	-1	6
k83_35368	5394	6029	-1	7
k83_35368	6122	6208	-1	8
k83_39117	1	798	1	1
