Hmm	ORF	tlen	qlen	Eval	score	start	end	Acc	Pos	Cov_seq	Cov_hmm	strand
2OG_1_CAS-I-II-III-IV-V-VI	k63_57803_1	290	94	0.0015	15.8	112	981	k63_57803	1	0.2896551724137931	0.7127659574468085	1
AbiEii_0_CAS-III	k63_105420_1	322	284	4.9e-05	19.6	168	1133	k63_105420	1	0.17391304347826086	0.1936619718309859	1
AbiEii_0_CAS-III	k63_1080954_1	365	284	7.7e-11	38.7	1	1095	k63_1080954	1	0.3287671232876712	0.3591549295774648	1
AbiEii_0_CAS-III	k63_11070_1	295	284	5.5e-06	22.7	2	886	k63_11070	1	0.2847457627118644	0.28169014084507044	1
AbiEii_0_CAS-III	k63_1147845_1	240	284	3.4e-09	33.3	282	1001	k63_1147845	1	0.3541666666666667	0.28169014084507044	1
AbiEii_0_CAS-III	k63_1352543_1	89	284	0.0011	15.1	3	269	k63_1352543	1	0.3258426966292135	0.10211267605633803	-1
AbiEii_0_CAS-III	k63_1366010_4	247	284	1.1e-05	21.7	1029	1769	k63_1366010	4	0.291497975708502	0.25	1
AbiEii_0_CAS-III	k63_1457440_1	193	284	0.0017	14.6	2	580	k63_1457440	1	0.35233160621761656	0.23943661971830985	-1
AbiEii_0_CAS-III	k63_1457440_3	128	284	0.0022	14.2	1035	1418	k63_1457440	3	0.1953125	0.08450704225352113	-1
AbiEii_0_CAS-III	k63_1872_5	508	284	0.0003	17.0	3072	4595	k63_1872	5	0.07480314960629922	0.13380281690140844	1
AbiEii_0_CAS-III	k63_253171_1	830	284	0.072	9.2	2	2491	k63_253171	1	0.23493975903614459	0.573943661971831	-1
AbiEii_0_CAS-III	k63_43384_1	174	284	0.0014	14.8	2	523	k63_43384	1	0.367816091954023	0.2147887323943662	-1
AbiEii_0_CAS-III	k63_479385_4	204	284	0.0033	13.6	2223	2834	k63_479385	4	0.30392156862745096	0.21830985915492956	1
AbiEii_0_CAS-III	k63_641722_1	201	284	0.0014	14.9	3	605	k63_641722	1	0.23880597014925373	0.18661971830985916	-1
AbiEii_0_CAS-III	k63_706549_2	655	284	0.00071	15.8	186	2150	k63_706549	2	0.06412213740458016	0.15492957746478872	-1
AbiEii_0_CAS-III	k63_749142_4	273	284	4.4e-07	26.3	3074	3892	k63_749142	4	0.3882783882783883	0.36971830985915494	-1
AbiEii_0_CAS-III	k63_775944_2	335	284	0.0024	14.0	1320	2324	k63_775944	2	0.4746268656716418	0.5422535211267606	1
AbiEii_0_CAS-III	k63_806085_2	340	284	5.7e-07	26.0	1306	2325	k63_806085	2	0.24411764705882352	0.27816901408450706	-1
AbiEii_0_CAS-III	k63_843869_1	256	284	8.9e-08	28.6	171	938	k63_843869	1	0.3359375	0.2992957746478873	-1
AbiEii_0_CAS-III	k63_957137_1	800	284	0.0031	13.7	2	2401	k63_957137	1	0.035	0.09859154929577464	-1
AbiEii_1_CAS-III-A	k63_1080954_1	365	335	1.6e-05	20.8	1	1095	k63_1080954	1	0.19726027397260273	0.2298507462686567	1
AbiEii_1_CAS-III-A	k63_479385_4	204	335	0.00011	18.0	2223	2834	k63_479385	4	0.20588235294117646	0.11940298507462686	1
AbiEii_1_CAS-III-A	k63_957137_1	800	335	0.012	11.3	2	2401	k63_957137	1	0.03125	0.07462686567164178	-1
AbiEii_2_CAS-III-C	k63_1080954_1	365	440	1.6e-06	24.2	1	1095	k63_1080954	1	0.2493150684931507	0.22045454545454546	1
AbiEii_2_CAS-III-C	k63_11070_1	295	440	0.0001	18.2	2	886	k63_11070	1	0.3254237288135593	0.22272727272727272	1
AbiEii_2_CAS-III-C	k63_853620_1	93	440	0.0098	11.7	3	281	k63_853620	1	0.46236559139784944	0.10454545454545454	1
Cas10_0_IIIA	k63_641722_9	62	650	0.025	9.9	4831	5016	k63_641722	9	0.5645161290322581	0.05846153846153846	-1
Cas10_1_CAS-III	k63_641722_9	62	654	0.0066	11.6	4831	5016	k63_641722	9	0.5967741935483871	0.05963302752293578	-1
Cas10_1_CAS-III	k63_996243_1	499	654	0.027	9.6	1	1497	k63_996243	1	0.09418837675350701	0.0764525993883792	-1
Cas11b_1_CAS-I-B	k63_614165_3	118	162	0.0026	14.2	2010	2363	k63_614165	3	0.3559322033898305	0.25308641975308643	-1
Cas3HD_0_CAS-I-E	k63_1197153_3	216	285	0.0087	12.0	1804	2451	k63_1197153	3	0.4537037037037037	0.3263157894736842	-1
Cas3_0_CAS-I-D	k63_10311_2	842	626	0.005	11.6	697	3222	k63_10311	2	0.07482185273159145	0.09744408945686901	1
Cas7_0_CAS-I-E	k63_1081987_3	156	325	1.9e-27	93.6	1923	2390	k63_1081987	3	0.9038461538461539	0.4123076923076923	1
Cas7_0_CAS-I-E	k63_73877_3	217	325	1.3000000000000001e-48	163.2	896	1546	k63_73877	3	0.9815668202764977	0.6123076923076923	1
Cas7_0_IE	k63_1081987_3	156	325	2.4e-27	93.3	1923	2390	k63_1081987	3	0.8974358974358975	0.40923076923076923	1
Cas7_0_IE	k63_73877_3	217	325	1.8e-48	162.7	896	1546	k63_73877	3	0.9815668202764977	0.6123076923076923	1
Cas7_1_CAS-I-E	k63_1081987_3	156	359	3e-30	102.4	1923	2390	k63_1081987	3	0.8910256410256411	0.3816155988857939	1
Cas7_1_CAS-I-E	k63_73877_3	217	359	3.9e-52	174.5	896	1546	k63_73877	3	0.9723502304147466	0.5403899721448467	1
Cas7_1_IC	k63_330304_1	88	292	0.00047	16.2	2	265	k63_330304	1	0.6363636363636364	0.20205479452054795	-1
Cas7b_0_CAS-I-B	k63_330304_1	88	292	0.00035	16.6	2	265	k63_330304	1	0.625	0.19863013698630136	-1
Cas8e_0_CAS-I-E	k63_1081987_1	426	470	1.1e-14	51.0	3	1280	k63_1081987	1	0.9507042253521126	0.8021276595744681	1
Cas8e_2_CAS-I-E	k63_1081987_1	426	523	2.5000000000000004e-133	442.0	3	1280	k63_1081987	1	0.9741784037558685	0.7896749521988528	1
Cas8e_2_CAS-I-E	k63_73877_1	82	523	7.6e-09	31.2	3	248	k63_73877	1	0.8536585365853658	0.12619502868068833	1
CasR_0_CAS-I-II-III-IV-V-VI	k63_640166_1	467	198	0.00032	17.0	3	1403	k63_640166	1	0.1349036402569593	0.3333333333333333	1
CasR_0_CAS-I-II-III-IV-V-VI	k63_919914_2	195	198	0.0025	14.1	1140	1724	k63_919914	2	0.3128205128205128	0.32323232323232326	-1
CasR_1_CAS-I-II-III-IV-V-VI	k63_17947_2	66	218	0.006	12.4	649	846	k63_17947	2	0.4090909090909091	0.12844036697247707	-1
CasR_1_CAS-I-II-III-IV-V-VI	k63_640166_1	467	218	0.00038	16.3	3	1403	k63_640166	1	0.13704496788008566	0.3073394495412844	1
CasR_1_CAS-I-II-III-IV-V-VI	k63_919914_2	195	218	0.0002	17.2	1140	1724	k63_919914	2	0.24102564102564103	0.22477064220183487	-1
CasR_1_CAS-III-B	k63_218766_1	358	173	0.0036	13.8	2	1075	k63_218766	1	0.23184357541899442	0.47398843930635837	-1
Cse1_0_IE	k63_1081987_1	426	504	1.7e-16	56.8	3	1280	k63_1081987	1	0.9507042253521126	0.8095238095238095	1
Cse2_0_IE	k63_1081987_2	205	159	3.3e-12	43.6	1277	1891	k63_1081987	2	0.7414634146341463	0.8930817610062893	1
Cse2_0_IE	k63_73877_2	212	159	1.7e-11	41.3	248	883	k63_73877	2	0.7688679245283019	0.9056603773584906	1
Cse2gr11_0_CAS-I-E	k63_1081987_2	205	160	1.6e-14	51.1	1277	1891	k63_1081987	2	0.751219512195122	0.925	1
Cse2gr11_0_CAS-I-E	k63_73877_2	212	160	6.1e-15	52.5	248	883	k63_73877	2	0.7688679245283019	0.925	1
Cse2gr11_1_CAS-I-E	k63_1081987_2	205	143	5.7e-17	58.9	1277	1891	k63_1081987	2	0.7414634146341463	1.0	1
Cse2gr11_1_CAS-I-E	k63_73877_2	212	143	2.1e-16	57.0	248	883	k63_73877	2	0.7594339622641509	1.0	1
Cse2gr11_4_CAS-I-E	k63_1081987_2	205	181	2.5e-27	92.6	1277	1891	k63_1081987	2	0.7804878048780488	0.8342541436464088	1
Cse2gr11_4_CAS-I-E	k63_73877_2	212	181	5.5e-25	85.0	248	883	k63_73877	2	0.8537735849056604	0.8895027624309392	1
Cse2gr11_6_CAS-I-E	k63_1081987_2	205	183	1.4000000000000001e-33	112.6	1277	1891	k63_1081987	2	0.8146341463414634	0.8469945355191257	1
Cse2gr11_6_CAS-I-E	k63_73877_2	212	183	4.2000000000000004e-32	107.8	248	883	k63_73877	2	0.6886792452830188	0.819672131147541	1
Cse2gr11_7_CAS-I-E	k63_1081987_2	205	144	2.9e-14	50.3	1277	1891	k63_1081987	2	0.7268292682926829	1.0	1
Cse2gr11_7_CAS-I-E	k63_73877_2	212	144	5e-14	49.5	248	883	k63_73877	2	0.7452830188679245	1.0	1
Csf4_0_IVA	k63_10311_2	842	666	2.5e-40	135.3	697	3222	k63_10311	2	0.6448931116389549	0.7147147147147147	1
Csf4_1_IVA1	k63_10311_2	842	802	2.3e-17	59.0	697	3222	k63_10311	2	0.32660332541567694	0.3204488778054863	1
Csf4_1_IVA1	k63_640166_2	142	802	0.021	9.6	1375	1800	k63_640166	2	0.44366197183098594	0.07855361596009976	1
Csf4_2_IVA1	k63_10311_2	842	526	1.4e-11	40.3	697	3222	k63_10311	2	0.25771971496437057	0.42395437262357416	1
Csm3gr7_11_CAS-III-A-III-D	k63_1378214_2	85	216	0.0019	14.3	1124	1378	k63_1378214	2	0.5411764705882353	0.24074074074074073	-1
Csm5gr7_2_CAS-III-A-III-D	k63_686366_2	132	258	0.009	12.0	1597	1992	k63_686366	2	0.6742424242424242	0.3333333333333333	-1
Csn2_7_CAS-II-A	k63_1147845_1	240	372	0.008	11.8	282	1001	k63_1147845	1	0.25833333333333336	0.16666666666666666	1
Csx1_15_CAS-III	k63_274850_4	434	474	0.0058	12.1	3058	4359	k63_274850	4	0.11290322580645161	0.10337552742616034	-1
Csx3_2_CAS-I-III	k63_1054571_2	516	277	5.4e-05	19.0	212	1759	k63_1054571	2	0.12790697674418605	0.1371841155234657	1
Csx3_2_CAS-I-III	k63_1183142_1	244	277	0.0066	12.2	2	733	k63_1183142	1	0.319672131147541	0.2815884476534296	-1
Csx3_2_CAS-I-III	k63_1872_5	508	277	0.006	12.3	3072	4595	k63_1872	5	0.0531496062992126	0.09747292418772563	1
Csx3_2_CAS-I-III	k63_345474_2	347	277	0.00057	15.7	859	1899	k63_345474	2	0.1729106628242075	0.21660649819494585	-1
Csx3_2_CAS-I-III	k63_862832_2	273	277	0.0022	13.7	364	1182	k63_862832	2	0.0989010989010989	0.09747292418772563	1
CysH_0_IVB	k63_250000_2	507	249	0.019	11.3	1269	2789	k63_250000	2	0.19723865877712032	0.37751004016064255	-1
DEDDh_0_CAS-I-II-III-IV-V-VI	k63_10311_2	842	160	1.7e-41	138.7	697	3222	k63_10311	2	0.17933491686460806	0.99375	1
DEDDh_0_CAS-I-II-III-IV-V-VI	k63_229472_1	575	160	7e-06	22.9	3	1727	k63_229472	1	0.1356521739130435	0.50625	1
HTH_0_CAS-III-A	k63_1471476_3	192	364	0.0024	13.6	1620	2195	k63_1471476	3	0.21875	0.11538461538461539	1
NYN_0_CAS-III-B	k63_856421_1	684	320	1.5e-05	21.0	273	2324	k63_856421	1	0.20029239766081872	0.403125	-1
PD_DExK_2_CAS-I-II-III-IV-V-VI	k63_328154_2	392	127	0.0091	12.1	388	1563	k63_328154	2	0.12755102040816327	0.4409448818897638	1
RecD_0_IVD	k63_1086541_1	589	763	0.005	11.5	3	1769	k63_1086541	1	0.1273344651952462	0.08781127129750983	-1
RecD_0_IVD	k63_1183142_1	244	763	0.0006	14.6	2	733	k63_1183142	1	0.3729508196721312	0.1218872870249017	-1
RecD_0_IVD	k63_253407_2	319	763	0.007	11.1	1521	2477	k63_253407	2	0.28213166144200624	0.11533420707732635	-1
TPR_0_CAS-III-B	k63_1060014_1	715	488	2e-18	62.9	3	2147	k63_1060014	1	0.3622377622377622	0.32581967213114754	-1
TPR_0_CAS-III-B	k63_1270978_2	833	488	2.3e-16	56.2	1389	3887	k63_1270978	2	0.31932773109243695	0.3401639344262295	-1
TPR_0_CAS-III-B	k63_640166_1	467	488	0.0012	14.3	3	1403	k63_640166	1	0.284796573875803	0.2581967213114754	1
TPR_1_CAS-III-A	k63_1299148_6	377	462	3.5e-05	19.3	3548	4678	k63_1299148	6	0.2572944297082228	0.11255411255411256	1
WYL_0_CAS-I-II-III-IV-V-VI	k63_1510472_2	116	313	0.00047	16.4	666	1013	k63_1510472	2	0.3879310344827586	0.14696485623003194	-1
WYL_0_CAS-I-II-III-IV-V-VI	k63_17947_2	66	313	0.0054	12.9	649	846	k63_17947	2	0.3484848484848485	0.07348242811501597	-1
