Contig	Start	End	Strand	Pos
k141_1093	1	255	1	1
k141_1093	255	1520	1	2
k141_1093	1521	2021	1	3
k141_1756	1	609	-1	1
k141_1756	606	2114	-1	2
k141_1756	2184	3260	-1	3
k141_1756	3429	4013	1	4
k141_2974	1	279	-1	1
k141_2974	424	1050	-1	2
k141_2974	1074	1487	-1	3
k141_2974	1487	1864	-1	4
k141_2974	2039	2152	-1	5
k141_2974	2182	2403	-1	6
k141_2974	2726	2902	1	7
k141_2974	2925	3359	1	8
k141_2974	3344	4252	1	9
k141_7553	1	480	-1	1
k141_7553	635	1216	1	2
k141_7553	1231	1446	1	3
k141_7553	1449	2390	1	4
k141_7592	1	513	1	1
k141_7592	513	707	1	2
k141_7592	941	1981	1	3
k141_7592	1938	2474	1	4
k141_7995	3	368	1	1
k141_7995	353	1489	1	2
k141_7995	1486	1935	-1	3
k141_7995	1932	3635	-1	4
k141_7995	3659	4780	1	5
k141_7995	4780	5436	1	6
k141_7995	5461	6573	1	7
k141_8175	1	681	-1	1
k141_8175	681	1445	-1	2
k141_8175	1442	2188	-1	3
k141_8175	2199	2420	-1	4
k141_10726	3	353	1	1
k141_10726	350	1042	1	2
k141_10726	1039	2334	1	3
k141_10726	2334	2972	1	4
k141_10726	2974	3189	1	5
k141_11245	2	238	1	1
k141_11245	238	1245	1	2
k141_11245	1303	2808	1	3
k141_11245	2811	3866	1	4
k141_11245	3866	4384	1	5
k141_11245	4402	6603	1	6
k141_11245	6600	7205	-1	7
k141_11834	1	558	1	1
k141_11834	560	1570	1	2
k141_11834	1636	2979	-1	3
k141_11834	3059	4237	1	4
k141_11834	4246	5433	1	5
k141_12784	1	1074	1	1
k141_12784	1067	2830	-1	2
k141_12784	2859	3476	-1	3
k141_12784	3476	3688	-1	4
k141_12784	3685	5262	-1	5
k141_12784	5276	6064	1	6
k141_12784	6110	6226	-1	7
k141_13247	3	890	1	1
k141_13247	890	2761	1	2
k141_13247	2815	3222	1	3
k141_13770	2	1018	1	1
k141_13770	1021	2409	1	2
k141_13770	2403	2471	-1	3
k141_16432	2	70	-1	1
k141_16432	113	757	1	2
k141_16432	754	1521	-1	3
k141_16432	1530	2234	-1	4
k141_16432	2288	2590	-1	5
k141_16432	2601	3287	1	6
k141_16432	3266	4372	-1	7
k141_16731	3	905	1	1
k141_16731	942	1052	-1	2
k141_16731	1049	2545	-1	3
