Contig	Start	End	Strand	Pos
k141_363	502	1215	-1	1
k141_363	1315	2109	-1	2
k141_363	2210	3286	1	3
k141_363	3273	3857	1	4
k141_363	3854	4933	1	5
k141_363	4985	5875	1	6
k141_363	5952	6410	1	7
k141_363	6500	6868	1	8
k141_363	6923	8098	1	9
k141_363	8167	8724	1	10
k141_363	8721	9224	1	11
k141_363	9380	10003	-1	12
k141_363	10203	10472	1	13
k141_363	10469	10807	-1	14
k141_363	10999	12099	1	15
k141_363	12330	12434	-1	16
k141_489	2	715	1	1
k141_489	543	1484	-1	2
k141_489	1488	1904	-1	3
k141_489	2186	4885	-1	4
k141_489	5138	6412	1	5
k141_489	6405	8009	1	6
k141_489	8042	9463	1	7
k141_489	9721	10479	1	8
k141_489	10570	11820	1	9
k141_489	11866	12669	1	10
k141_489	12757	13536	1	11
k141_489	13533	14606	-1	12
k141_489	14696	16420	-1	13
k141_489	16519	18291	-1	14
k141_489	18316	19191	-1	15
k141_489	19494	19991	1	16
k141_489	20080	21318	1	17
k141_489	21326	22456	1	18
k141_489	22587	22898	1	19
k141_489	22976	24349	-1	20
k141_489	24445	25419	-1	21
k141_489	25457	26377	-1	22
k141_489	26408	26869	-1	23
k141_489	26869	28581	-1	24
k141_489	28584	29822	-1	25
k141_489	29871	30665	-1	26
k141_489	30689	31828	-1	27
k141_489	31855	33021	-1	28
k141_489	33228	34136	-1	29
k141_489	34244	35845	-1	30
k141_489	36104	36355	1	31
k141_489	36352	37185	-1	32
k141_489	37182	37655	-1	33
k141_489	37652	38194	-1	34
k141_489	38191	40179	-1	35
k141_489	40240	40497	-1	36
k141_489	40596	43910	1	37
k141_489	43930	45390	-1	38
k141_489	45535	46344	1	39
k141_489	46341	47561	1	40
k141_489	47930	49648	1	41
k141_489	49775	49888	-1	42
k141_768	2	64	-1	1
k141_768	594	2546	-1	2
k141_768	2558	4636	-1	3
k141_768	4869	5996	1	4
k141_768	6014	6172	-1	5
k141_768	6196	7344	-1	6
k141_768	7364	8188	-1	7
k141_768	8185	9189	-1	8
k141_768	9305	9907	1	9
k141_768	9904	11373	-1	10
k141_768	11497	12345	1	11
k141_768	12342	13547	-1	12
k141_768	13689	14351	1	13
k141_768	14338	16422	-1	14
k141_768	16500	16793	1	15
k141_768	16815	20306	1	16
k141_768	20437	21135	-1	17
k141_768	21370	21687	1	18
k141_768	21678	22994	-1	19
k141_768	23088	24176	1	20
k141_768	24181	25401	-1	21
k141_768	25742	25993	1	22
k141_768	26130	27122	-1	23
k141_768	27210	28109	1	24
k141_768	28188	28892	1	25
k141_768	28892	29551	1	26
k141_768	29692	32775	1	27
k141_768	32791	33855	1	28
k141_768	34213	34899	-1	29
k141_768	35383	35907	-1	30
k141_768	36070	36870	-1	31
k141_768	36894	38273	-1	32
k141_768	38380	39054	-1	33
k141_768	39090	40178	1	34
k141_768	40357	41592	-1	35
k141_768	41611	42459	-1	36
k141_768	42614	43204	1	37
k141_768	43261	44187	-1	38
k141_768	44353	46248	-1	39
k141_768	46322	46777	-1	40
k141_768	46774	47907	-1	41
k141_768	48027	48509	1	42
k141_768	48452	49126	-1	43
k141_768	49130	50143	-1	44
k141_768	50322	51866	1	45
k141_768	51854	52336	1	46
k141_768	52333	53823	1	47
k141_768	54218	54346	-1	48
k141_768	54460	54588	-1	49
k141_768	54778	55530	1	50
k141_768	55563	56225	1	51
k141_768	56177	56572	-1	52
k141_768	56757	57650	-1	53
k141_768	57752	58564	1	54
k141_768	59000	59908	1	55
k141_768	60008	61153	1	56
k141_768	61159	61791	1	57
k141_768	61788	62831	1	58
k141_768	62840	63622	1	59
k141_768	63619	64479	1	60
k141_768	64486	64935	-1	61
k141_768	65016	65186	-1	62
k141_768	65244	65348	-1	63
k141_768	65732	66550	1	64
k141_768	66661	68010	-1	65
k141_768	68007	68282	-1	66
k141_768	68390	69238	-1	67
k141_768	69249	70652	-1	68
k141_768	70656	72029	-1	69
k141_768	72051	73439	-1	70
k141_768	73443	75656	-1	71
k141_768	75734	77002	-1	72
k141_768	76999	78051	-1	73
k141_768	78048	79049	-1	74
k141_768	79134	80285	1	75
k141_768	80282	80782	1	76
k141_768	80753	81325	-1	77
k141_768	81264	82241	-1	78
k141_1386	3	98	1	1
k141_1386	70	1671	-1	2
k141_1386	1668	2729	-1	3
k141_1386	2761	4266	-1	4
k141_1386	4376	5509	1	5
k141_1386	5608	7032	1	6
k141_1386	7047	7688	1	7
k141_1386	7719	8474	1	8
k141_1876	2	76	-1	1
k141_1876	237	956	-1	2
k141_1876	2278	3441	-1	3
k141_1876	3565	4473	-1	4
k141_1876	4586	6106	-1	5
k141_1876	6295	7143	-1	6
k141_1876	7140	8324	-1	7
k141_1876	8332	8634	-1	8
k141_1876	8671	9000	-1	9
k141_1876	9077	10201	-1	10
k141_1876	10249	10923	-1	11
k141_1876	10920	11504	-1	12
k141_1876	11706	13058	1	13
k141_1876	13055	13825	1	14
k141_1876	13825	15054	1	15
k141_1876	15202	17340	1	16
k141_1876	17415	18194	1	17
k141_1876	18191	18865	1	18
k141_1876	18855	19946	1	19
k141_1876	19943	21340	-1	20
k141_1876	21337	24447	-1	21
k141_1876	24444	25556	-1	22
k141_1876	25677	27206	-1	23
k141_1876	27363	27992	-1	24
k141_1876	28120	30135	1	25
k141_1876	30135	30914	1	26
k141_1876	31423	34383	-1	27
k141_1876	34576	35382	-1	28
k141_1876	35771	36574	1	29
k141_1876	36583	37059	-1	30
k141_1876	37071	37529	-1	31
k141_1876	37737	37859	-1	32
k141_1876	37877	39022	-1	33
k141_1876	39035	40624	-1	34
k141_1876	40726	42384	1	35
k141_1876	42381	44039	1	36
k141_1876	44088	44534	1	37
k141_1876	44531	45397	-1	38
k141_1876	45498	46430	-1	39
k141_1876	46442	47389	-1	40
k141_1876	47533	48501	1	41
k141_1876	48519	49970	1	42
k141_1876	49986	50972	-1	43
k141_1876	51123	52796	1	44
k141_1876	52793	54037	1	45
k141_1876	54034	55506	1	46
k141_1876	55487	55942	-1	47
k141_1876	55939	57657	-1	48
k141_1876	57764	59476	-1	49
k141_1876	59548	62241	-1	50
k141_1876	62380	63417	-1	51
k141_1876	63414	63926	-1	52
k141_1876	64042	65112	-1	53
k141_1876	65109	65651	-1	54
k141_1876	65772	69290	-1	55
k141_1876	69485	72379	1	56
k141_1876	72476	73420	-1	57
k141_1876	73417	74505	-1	58
k141_1876	74502	75767	-1	59
k141_1876	75776	77419	-1	60
k141_1876	77421	78122	-1	61
k141_1876	78231	78623	1	62
k141_1876	78620	79240	1	63
k141_1876	79237	80391	1	64
k141_1876	80394	82154	1	65
k141_1876	82507	85749	-1	66
k141_1876	85772	86554	-1	67
k141_1876	86551	87867	-1	68
k141_1876	88033	88536	1	69
k141_1876	88570	90201	1	70
k141_1876	90198	90953	1	71
k141_1876	90956	92824	-1	72
k141_1876	92835	95042	-1	73
k141_1876	95209	95967	-1	74
k141_1876	96120	96953	-1	75
k141_1876	96958	97485	-1	76
k141_1876	97482	98483	-1	77
k141_1876	98480	99757	-1	78
k141_1876	99777	101954	-1	79
k141_1876	102014	103504	-1	80
k141_1876	103643	104803	1	81
k141_1876	104826	106247	1	82
k141_1876	106253	107047	1	83
k141_1876	107044	108021	-1	84
k141_1876	108021	109037	-1	85
k141_1876	109531	110808	-1	86
k141_1876	110826	112283	-1	87
k141_1876	112350	113579	-1	88
k141_1876	113576	115699	-1	89
k141_1876	115696	117261	-1	90
k141_1876	117309	119693	-1	91
k141_1876	119756	120676	-1	92
k141_1876	120826	122667	-1	93
k141_1876	123054	125063	1	94
k141_1876	125171	125671	1	95
k141_1876	125708	126136	1	96
k141_1876	126210	126404	-1	97
k141_1876	126492	126893	-1	98
k141_1876	126932	127366	-1	99
k141_1876	127727	128395	-1	100
k141_1876	128395	129093	-1	101
k141_1876	129219	129428	1	102
k141_1876	129433	129999	1	103
k141_1876	130118	130798	-1	104
k141_1876	130916	131533	-1	105
k141_1876	131526	133052	-1	106
k141_1876	133204	133953	-1	107
k141_1876	133953	134726	-1	108
k141_1876	134756	135064	-1	109
k141_1876	135057	136076	-1	110
k141_1876	136090	137058	-1	111
k141_1876	137156	138979	-1	112
k141_1876	139011	139415	-1	113
k141_1876	139587	141350	1	114
k141_1876	141426	144164	1	115
k141_1876	144244	146937	1	116
k141_1876	146944	147819	-1	117
k141_1876	148004	148720	-1	118
k141_1876	148944	151223	-1	119
k141_1876	151514	152209	1	120
k141_1876	152384	154051	1	121
k141_1876	154044	155366	1	122
k141_1876	155371	157029	1	123
k141_1876	157259	158629	1	124
k141_1876	158626	160287	1	125
k141_1876	160350	161063	-1	126
k141_1876	161077	162660	-1	127
k141_1876	163018	163908	1	128
k141_1876	164255	164386	1	129
k141_1876	164397	164537	-1	130
k141_1894	463	858	-1	1
k141_1894	1737	2213	-1	2
k141_1894	2268	5528	-1	3
k141_1894	5940	6509	1	4
k141_1894	6506	6742	1	5
k141_1894	6716	7141	-1	6
k141_1894	7158	8234	-1	7
k141_1894	8473	9645	-1	8
k141_1894	10026	10493	1	9
k141_1894	10496	11227	-1	10
k141_1894	11466	13304	1	11
k141_1894	13358	15016	1	12
k141_2091	342	956	1	1
k141_2091	957	1268	1	2
k141_2091	1275	1820	-1	3
k141_2091	2012	3415	-1	4
k141_2091	3540	3974	-1	5
k141_2091	4059	5627	-1	6
k141_2091	5624	8647	-1	7
k141_2091	9021	9929	-1	8
k141_2091	9929	11128	-1	9
k141_2091	11234	12535	-1	10
k141_2091	12620	14044	-1	11
k141_2091	14296	14724	-1	12
k141_2091	14815	15678	-1	13
k141_2091	15736	16140	-1	14
k141_2091	16150	17664	-1	15
k141_2091	17675	18097	-1	16
k141_2091	18237	18995	1	17
k141_2091	19002	19841	-1	18
k141_2091	19861	20400	-1	19
k141_2091	20600	21115	1	20
k141_2091	21195	22157	-1	21
k141_2091	22269	22478	-1	22
k141_2091	22475	22924	-1	23
k141_2091	23000	23728	-1	24
k141_2372	450	956	-1	1
k141_2372	956	2293	-1	2
k141_2372	2446	3756	-1	3
k141_2372	3801	5012	-1	4
k141_2372	5043	5483	-1	5
k141_2372	5514	5963	-1	6
k141_2372	6031	6642	-1	7
k141_2372	6639	7757	-1	8
k141_2372	7754	8800	-1	9
k141_2372	8890	9417	-1	10
k141_2372	9534	9803	-1	11
k141_2372	9824	10504	-1	12
k141_2372	10721	11017	-1	13
k141_2372	11763	14846	1	14
k141_2372	14929	16155	-1	15
k141_2372	16142	16840	-1	16
k141_2372	16842	18734	-1	17
k141_2372	18940	21207	-1	18
k141_2372	21345	22682	-1	19
k141_2372	22755	23453	1	20
k141_2372	23538	23762	1	21
k141_2372	23885	24991	1	22
k141_2372	24996	25574	1	23
k141_2372	25637	26011	1	24
k141_2372	26103	26669	1	25
k141_2372	26787	27836	1	26
k141_2372	27923	28375	1	27
k141_2372	28469	30601	1	28
k141_2372	30670	32433	-1	29
k141_2372	32603	33787	1	30
k141_2372	33825	34538	-1	31
k141_2372	34703	37039	1	32
k141_2372	37099	37974	1	33
k141_2372	38055	38975	1	34
k141_2372	39144	42200	1	35
k141_2372	42211	43812	1	36
k141_2372	43816	45057	1	37
k141_2372	45095	46861	1	38
k141_2372	46889	47245	-1	39
k141_2372	47214	48491	-1	40
k141_2372	48709	49080	-1	41
k141_2372	49203	49772	1	42
k141_2372	49769	50470	1	43
k141_2372	50467	51726	1	44
k141_2372	51735	52448	1	45
k141_2372	52460	53419	-1	46
k141_2372	53457	54878	-1	47
k141_2372	54963	56450	-1	48
k141_2372	56617	56994	1	49
k141_2372	57001	57573	1	50
k141_2372	57557	57799	1	51
k141_2372	58055	60826	1	52
k141_2372	60904	61944	1	53
k141_2388	269	802	-1	1
k141_2388	799	2637	-1	2
k141_2388	2793	2954	1	3
k141_2388	3111	3968	-1	4
k141_2388	4021	4857	-1	5
k141_2388	4868	5878	1	6
k141_2388	5875	7215	1	7
k141_2388	7460	7837	1	8
k141_2388	7900	8661	1	9
k141_2388	8813	9226	1	10
k141_2388	9418	10599	-1	11
k141_2388	10610	11770	-1	12
k141_2388	11767	12462	-1	13
k141_2388	12550	13575	-1	14
k141_2388	13750	14436	1	15
k141_2388	14453	14884	-1	16
k141_2388	14881	15366	-1	17
k141_2388	15410	16210	-1	18
k141_2388	16296	16664	-1	19
k141_2388	16874	17659	-1	20
k141_2388	17841	18905	1	21
k141_2388	18902	20314	-1	22
k141_2388	20311	21267	-1	23
k141_2388	21307	21849	-1	24
k141_2388	21856	22431	-1	25
k141_2388	22618	24375	1	26
k141_2388	24477	24962	1	27
k141_2388	24982	25365	-1	28
k141_2388	25573	25800	1	29
k141_2388	25797	26117	1	30
k141_2388	26126	26878	1	31
k141_2388	26882	27655	1	32
k141_2388	27702	28574	1	33
k141_2388	28727	29149	1	34
k141_2388	29172	29882	-1	35
k141_2388	30034	30966	1	36
k141_2388	31059	31661	1	37
k141_2388	31728	31976	1	38
k141_2388	31978	32337	1	39
k141_2388	32347	33234	1	40
k141_2388	33249	35174	1	41
k141_2388	35179	36576	-1	42
k141_2388	36608	37225	-1	43
k141_2388	37281	38039	1	44
k141_2388	38044	38832	-1	45
k141_2388	39014	40306	-1	46
k141_2388	40427	41518	-1	47
k141_2388	41565	42074	-1	48
k141_2388	42163	42837	1	49
k141_2388	42862	43668	1	50
k141_2388	43665	44576	-1	51
k141_2388	44573	45517	-1	52
k141_2388	45644	45805	1	53
k141_2388	45879	46811	1	54
k141_2388	46811	47716	1	55
k141_2388	47812	48483	-1	56
k141_2388	48506	49108	-1	57
k141_2388	49237	50877	1	58
k141_2388	50946	52166	1	59
k141_2388	52246	54033	-1	60
k141_2388	55180	55962	1	61
k141_2388	55988	57373	1	62
k141_2388	57388	57927	1	63
k141_2388	57924	58334	1	64
k141_2388	58349	58753	1	65
k141_2388	58766	59383	1	66
k141_2388	59521	61059	1	67
k141_2388	61271	62725	1	68
k141_2388	63041	63658	1	69
k141_2388	63726	65984	-1	70
k141_2388	66012	66422	-1	71
k141_2388	66406	67650	-1	72
k141_2388	67908	68996	1	73
k141_2388	69042	69413	-1	74
k141_2388	69454	69990	1	75
k141_2388	70121	70366	1	76
k141_2388	70483	70752	1	77
k141_2388	70816	73248	-1	78
k141_2388	73618	74124	1	79
k141_2388	74124	74441	1	80
k141_2388	74438	74812	1	81
k141_2388	74813	75454	1	82
k141_2388	75451	75909	1	83
k141_2388	75912	76388	1	84
k141_2388	76389	77915	1	85
k141_2388	77920	79401	1	86
k141_2388	79398	79700	1	87
k141_2388	79697	81448	1	88
k141_2388	81611	81970	1	89
k141_2388	81967	82659	1	90
k141_2388	82811	83230	-1	91
k141_2388	83314	83583	-1	92
k141_2388	83807	84838	-1	93
k141_2388	85037	86809	1	94
k141_2388	86917	87825	-1	95
k141_2388	87935	89608	-1	96
k141_2388	89667	90008	1	97
k141_2388	90076	90498	1	98
k141_2388	90532	92139	1	99
k141_2388	92136	93314	1	100
k141_2388	93323	94405	-1	101
k141_2388	94556	94930	-1	102
k141_2388	94930	96912	-1	103
k141_2388	97120	97956	1	104
k141_2388	97890	99860	-1	105
k141_2388	99947	100399	1	106
k141_2388	100556	100759	-1	107
k141_2388	100756	104043	-1	108
k141_2388	104040	105023	-1	109
k141_2388	105043	105399	-1	110
k141_2388	105514	105843	1	111
k141_2388	105918	107198	1	112
k141_2485	594	902	1	1
k141_2485	925	1842	-1	2
k141_2485	1842	2570	-1	3
k141_2485	2567	3616	-1	4
k141_2485	3613	4629	-1	5
k141_2485	4656	5627	-1	6
k141_2485	5627	7420	-1	7
k141_2485	7593	7979	1	8
k141_2485	7979	8362	1	9
k141_2485	8564	9391	1	10
k141_2485	9742	10566	1	11
k141_2485	10668	11033	1	12
k141_2485	11251	12084	1	13
k141_2485	12193	13359	1	14
k141_2485	13469	14542	-1	15
k141_2485	14771	17524	1	16
k141_2485	17541	18191	-1	17
k141_2485	18278	18727	-1	18
k141_2485	18729	19058	-1	19
k141_2485	19064	20185	-1	20
k141_2485	20435	20854	1	21
k141_2485	21031	21459	1	22
k141_2485	22075	22821	-1	23
k141_2485	22840	23784	-1	24
k141_2485	23797	24582	-1	25
k141_2485	24597	25349	-1	26
k141_2485	25608	26183	1	27
k141_2485	26205	27338	1	28
k141_2485	27335	27736	1	29
k141_2485	27740	28501	1	30
k141_2485	28485	31931	1	31
k141_2485	32032	32787	-1	32
k141_2485	32784	33113	-1	33
k141_2485	33220	33660	1	34
k141_2485	33676	34089	1	35
k141_2485	34128	34442	1	36
k141_2485	34593	35114	1	37
k141_2485	35236	37152	-1	38
k141_2485	37164	39056	-1	39
k141_2485	39223	41133	-1	40
k141_2485	41246	41509	1	41
k141_2485	41506	42258	1	42
k141_2485	42269	43369	1	43
k141_2485	43406	45946	1	44
k141_2485	46019	46417	1	45
k141_2485	46906	47154	1	46
k141_2485	47195	47764	-1	47
k141_2485	47784	48047	-1	48
k141_2485	48161	49033	1	49
k141_2485	49040	50482	-1	50
k141_2485	50572	51648	1	51
k141_2485	52064	54718	1	52
k141_2485	54718	55176	1	53
k141_2485	55173	56156	-1	54
k141_2485	56324	57253	1	55
k141_2485	57250	58125	1	56
k141_2485	58122	58532	-1	57
k141_2485	58619	59008	-1	58
k141_2485	59125	60348	-1	59
k141_2485	60555	61994	1	60
k141_2485	62093	64636	-1	61
k141_2485	64629	65693	-1	62
k141_2485	65804	66148	1	63
k141_2485	66209	66970	1	64
k141_2485	66967	68067	-1	65
k141_2485	68323	68940	1	66
k141_2485	69019	70230	-1	67
k141_2485	70546	71010	1	68
k141_2485	71039	71368	-1	69
k141_2485	71401	72222	-1	70
k141_2485	72229	72465	-1	71
k141_2485	72587	73096	1	72
k141_2485	73183	74127	1	73
k141_2485	74485	76713	-1	74
k141_2485	76807	77013	1	75
k141_2485	77026	77547	1	76
k141_2485	77578	78240	-1	77
k141_2485	78256	78495	-1	78
k141_2485	78585	79859	1	79
k141_2485	79938	80693	-1	80
k141_2485	80947	81270	1	81
k141_2485	81310	81753	-1	82
k141_2485	81832	82299	-1	83
k141_2485	82296	82856	-1	84
k141_2485	83649	84950	-1	85
k141_2485	85286	86077	-1	86
k141_2485	86291	87514	-1	87
k141_2485	87795	88475	-1	88
k141_2485	88479	89318	-1	89
k141_2485	89410	91089	-1	90
k141_2485	91166	91630	-1	91
k141_2485	91627	92334	-1	92
k141_2485	92400	93182	1	93
k141_2485	94243	95913	1	94
k141_2485	96179	97366	1	95
k141_2485	97805	99082	1	96
k141_2485	99100	100302	-1	97
k141_2485	100473	100739	-1	98
k141_2485	101117	101638	1	99
k141_2485	101640	101945	1	100
k141_2485	101957	102250	-1	101
k141_2485	102237	102494	-1	102
k141_2485	102673	103413	1	103
k141_2485	103410	103781	-1	104
k141_2485	103822	104109	-1	105
k141_2485	104383	104928	1	106
k141_2485	104964	106046	-1	107
k141_2485	106046	107407	-1	108
k141_2485	107437	109101	-1	109
k141_2485	109098	109556	-1	110
k141_2485	109745	110422	-1	111
k141_2485	110376	111029	-1	112
k141_2485	111226	111564	1	113
k141_2485	111915	112124	-1	114
k141_2485	112523	112783	1	115
k141_2485	112783	113079	1	116
