Hmm	ORF	tlen	qlen	Eval	score	start	end	Acc	Pos	Cov_seq	Cov_hmm	strand
2OG_0_CAS-I-II-III-IV-V-VI	k141_2592_112	223	205	0.0014	15.3	107047	107715	k141_2592	112	0.17040358744394618	0.1951219512195122	-1
2OG_0_CAS-I-II-III-IV-V-VI	k141_5531_131	220	205	0.002	14.8	113508	114167	k141_5531	131	0.2545454545454545	0.2926829268292683	1
2OG_1_CAS-I-II-III-IV-V-VI	k141_2592_112	223	94	4.4e-06	24.9	107047	107715	k141_2592	112	0.4125560538116592	0.6702127659574468	-1
2OG_1_CAS-I-II-III-IV-V-VI	k141_2592_191	414	94	4.8e-11	40.9	197169	198410	k141_2592	191	0.25120772946859904	0.9893617021276596	1
2OG_1_CAS-I-II-III-IV-V-VI	k141_3435_21	225	94	7.2e-20	69.1	20552	21226	k141_3435	21	0.40444444444444444	0.9787234042553191	1
2OG_1_CAS-I-II-III-IV-V-VI	k141_3700_138	247	94	5.4e-16	56.7	148878	149618	k141_3700	138	0.4251012145748988	1.0	-1
2OG_1_CAS-I-II-III-IV-V-VI	k141_4022_15	597	94	0.0016	16.8	20287	22077	k141_4022	15	0.13400335008375208	0.7978723404255319	-1
2OG_1_CAS-I-II-III-IV-V-VI	k141_4022_17	255	94	1.7e-12	45.5	24191	24955	k141_4022	17	0.36470588235294116	0.9893617021276596	-1
2OG_1_CAS-I-II-III-IV-V-VI	k141_5531_131	220	94	7.8e-18	62.6	113508	114167	k141_5531	131	0.40454545454545454	0.9893617021276596	1
2OG_1_CAS-I-II-III-IV-V-VI	k141_5531_44	226	94	3.5e-07	28.5	26810	27487	k141_5531	44	0.33185840707964603	0.8191489361702128	1
2OG_1_CAS-I-II-III-IV-V-VI	k141_7014_60	329	94	1.6e-13	48.8	61704	62690	k141_7014	60	0.24924012158054712	0.7978723404255319	-1
AbiEii_0_CAS-III	k141_1876_19	364	284	0.00051	17.3	18855	19946	k141_1876	19	0.18681318681318682	0.23943661971830985	1
AbiEii_0_CAS-III	k141_1876_35	553	284	0.0091	13.2	40726	42384	k141_1876	35	0.05244122965641953	0.09859154929577464	1
AbiEii_0_CAS-III	k141_1876_36	553	284	0.0019	15.4	42381	44039	k141_1876	36	0.15551537070524413	0.2852112676056338	1
AbiEii_0_CAS-III	k141_2372_43	234	284	0.009	13.2	49769	50470	k141_2372	43	0.47863247863247865	0.3873239436619718	1
AbiEii_0_CAS-III	k141_2388_13	232	284	3e-05	21.3	11767	12462	k141_2388	13	0.6379310344827587	0.3908450704225352	-1
AbiEii_0_CAS-III	k141_2592_22	627	284	1.6e-07	28.8	22046	23926	k141_2592	22	0.25996810207336524	0.397887323943662	1
AbiEii_0_CAS-III	k141_2592_67	532	284	9e-10	36.2	63704	65299	k141_2592	67	0.37593984962406013	0.4225352112676056	-1
AbiEii_0_CAS-III	k141_2767_12	347	284	2.1e-06	25.1	8306	9346	k141_2767	12	0.24495677233429394	0.2887323943661972	-1
AbiEii_0_CAS-III	k141_3409_6	309	284	1.5e-05	22.3	7018	7944	k141_3409	6	0.255663430420712	0.2887323943661972	1
AbiEii_0_CAS-III	k141_3700_140	314	284	0.00084	16.6	150223	151164	k141_3700	140	0.28662420382165604	0.2992957746478873	1
AbiEii_0_CAS-III	k141_3700_182	617	284	7.9e-06	23.2	188285	190135	k141_3700	182	0.4359805510534846	0.5035211267605634	-1
