Hmm	ORF	tlen	qlen	Eval	score	start	end	Acc	Pos	Cov_seq	Cov_hmm	strand
2OG_1_CAS-I-II-III-IV-V-VI	k83_207441_6	528	94	0.00019	18.2	3130	4713	k83_207441	6	0.17045454545454544	0.9148936170212766	1
AbiEii_0_CAS-III	k83_102461_5	427	284	0.0002	17.0	5968	7248	k83_102461	5	0.07728337236533958	0.11619718309859155	-1
AbiEii_0_CAS-III	k83_113904_2	221	284	8e-06	21.6	961	1623	k83_113904	2	0.5339366515837104	0.40492957746478875	1
AbiEii_0_CAS-III	k83_15952_5	304	284	4.7e-13	45.3	1826	2737	k83_15952	5	0.3717105263157895	0.3732394366197183	-1
AbiEii_0_CAS-III	k83_194299_1	193	284	0.00016	17.3	1	579	k83_194299	1	0.14507772020725387	0.09859154929577464	-1
AbiEii_0_CAS-III	k83_21699_2	226	284	0.0013	14.3	976	1653	k83_21699	2	0.43805309734513276	0.3345070422535211	1
AbiEii_0_CAS-III	k83_324474_6	432	284	6.8e-05	18.5	5339	6634	k83_324474	6	0.13425925925925927	0.20422535211267606	1
AbiEii_0_CAS-III	k83_567636_2	260	284	0.0052	12.4	177	956	k83_567636	2	0.27307692307692305	0.23943661971830985	-1
AbiEii_0_CAS-III	k83_607633_5	241	284	0.00046	15.8	2449	3171	k83_607633	5	0.5269709543568465	0.43309859154929575	1
AbiEii_1_CAS-III-A	k83_15952_5	304	335	0.0024	13.0	1826	2737	k83_15952	5	0.1118421052631579	0.10149253731343283	-1
AbiEii_1_CAS-III-A	k83_567636_2	260	335	4e-05	18.9	177	956	k83_567636	2	0.4	0.32238805970149254	-1
Cas1_0_IA	k83_31463_1	105	347	0.0051	11.7	1	315	k83_31463	1	0.47619047619047616	0.1440922190201729	1
Cas3_0_CAS-I	k83_1203925_14	318	353	0.00081	14.6	13358	14311	k83_1203925	14	0.279874213836478	0.23512747875354106	1
Cas3_0_CAS-I	k83_324474_9	1153	353	1.7e-14	49.7	8596	12054	k83_324474	9	0.24371205550737207	0.8838526912181303	1
Cas3_0_CAS-I	k83_43099_10	668	353	1.2e-14	50.1	7159	9162	k83_43099	10	0.4476047904191617	0.8951841359773371	1
Cas3_0_CAS-I-D	k83_643547_6	644	626	1.8e-07	25.7	3702	5633	k83_643547	6	0.08850931677018634	0.09424920127795527	-1
Cas3_0_I	k83_1203925_14	318	358	0.0013	13.9	13358	14311	k83_1203925	14	0.2861635220125786	0.2569832402234637	1
Cas3_0_I	k83_324474_9	1153	358	4.5e-13	45.0	8596	12054	k83_324474	9	0.24284475281873374	0.8687150837988827	1
Cas3_0_I	k83_43099_10	668	358	1.7e-13	46.4	7159	9162	k83_43099	10	0.30538922155688625	0.5670391061452514	1
Cas3_1_CAS-I	k83_43099_10	668	745	3.9e-07	24.7	7159	9162	k83_43099	10	0.24251497005988024	0.22416107382550335	1
Cas3_2_CAS-I	k83_324474_9	1153	967	0.00092	13.3	8596	12054	k83_324474	9	0.06938421509106678	0.08066184074457083	1
Cas3_2_CAS-I	k83_43099_10	668	967	1.8e-05	19.0	7159	9162	k83_43099	10	0.2619760479041916	0.1737331954498449	1
Cas3d_1_CAS-I-D	k83_113355_2	1254	627	0.0011	13.2	366	4127	k83_113355	2	0.10047846889952153	0.20095693779904306	-1
Cas4_0_CAS-I-II-III-IV-V-VI	k83_1412400_5	867	179	0.00018	17.7	2831	5431	k83_1412400	5	0.19492502883506344	0.6368715083798883	1
Cas4_5_CAS-I-II-III-IV-V-VI	k83_1412400_5	867	161	0.0011	15.2	2831	5431	k83_1412400	5	0.08765859284890427	0.37888198757763975	1
Cas5f_3_CAS-I-F	k83_77854_4	96	293	0.00057	15.3	1503	1790	k83_77854	4	0.65625	0.20477815699658702	-1
Cas6_7_CAS-I-II-III-IV-V-VI	k83_2143_3	149	241	0.00043	16.3	966	1412	k83_2143	3	0.4228187919463087	0.27800829875518673	1
Cas8b3_2_CAS-I-B	k83_15835_5	191	557	7.9e-05	17.3	2487	3059	k83_15835	5	0.33507853403141363	0.11490125673249552	-1
Cas8f_5_CAS-I-F	k83_43099_9	126	401	0.0012	13.8	6695	7072	k83_43099	9	0.49206349206349204	0.14962593516209477	1
CasR_0_CAS-I-II-III-IV-V-VI	k83_1137500_1	75	198	3e-06	23.0	1	225	k83_1137500	1	0.8133333333333334	0.31313131313131315	-1
CasR_0_CAS-I-II-III-IV-V-VI	k83_351475_3	87	198	9.9e-05	18.0	742	1002	k83_351475	3	0.4827586206896552	0.21212121212121213	-1
CasR_0_CAS-III-B	k83_102461_4	806	480	0.00019	16.2	3467	5884	k83_102461	4	0.1228287841191067	0.14166666666666666	-1
CasR_1_CAS-I-II-III-IV-V-VI	k83_109206_1	140	218	0.0034	12.6	2	421	k83_109206	1	0.6285714285714286	0.41284403669724773	1
CasR_1_CAS-I-II-III-IV-V-VI	k83_1137500_1	75	218	7.8e-07	24.5	1	225	k83_1137500	1	0.84	0.29357798165137616	-1
CasR_1_CAS-I-II-III-IV-V-VI	k83_351475_3	87	218	0.00027	16.1	742	1002	k83_351475	3	0.4827586206896552	0.1926605504587156	-1
CasR_1_CAS-I-II-III-IV-V-VI	k83_99413_2	213	218	0.001	14.3	544	1182	k83_99413	2	0.2863849765258216	0.29357798165137616	-1
Cmr3_0_IIIB	k83_2143_4	60	346	0.0016	13.6	1465	1644	k83_2143	4	0.6833333333333333	0.11849710982658959	1
Csa3_1_CAS-I-II-III-IV-V-VI	k83_1137500_1	75	118	5.3e-10	35.7	1	225	k83_1137500	1	0.9066666666666666	0.635593220338983	-1
Csf4_0_IVA	k83_643547_6	644	666	1.5e-56	188.2	3702	5633	k83_643547	6	0.9114906832298136	0.8978978978978979	-1
Csf4_1_IVA1	k83_643547_6	644	802	5.2e-13	44.0	3702	5633	k83_643547	6	0.34937888198757766	0.2955112219451372	-1
