Contig	Operon	Start	End	Prediction	Complete_Interference	Complete_Adaptation	Best_type	Best_score	Genes	Positions	E-values	CoverageSeq	CoverageHMM	Strand_Interference	Strand_Adaptation
k63_1072830	k63_1072830@1	1521	2303	False	0%	0%	I-A	0.0	['2OG_1_CAS-I-II-III-IV-V-VI']	[4]	['9.60e-04']	[0.395]	[0.904]	NA	NA
k63_337736	k63_337736@1	3499	4308	False	0%	0%	I-A	0.0	['2OG_1_CAS-I-II-III-IV-V-VI']	[5]	['1.30e-04']	[0.381]	[0.851]	NA	NA
k63_1546488	k63_1546488@1	11090	11809	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[12]	['5.40e-09']	[0.45]	[0.363]	NA	NA
k63_678320	k63_678320@1	2015	6729	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III', 'PD_DExK_1_CAS-I-II-III-IV-V-VI']	[3, 7]	['6.80e-09', '1.00e-60']	[0.416, 0.833]	[0.433, 0.961]	NA	NA
k63_617175	k63_617175@1	782	1801	False	0%	33%	I-A	1.0	['Cas4_0_I-II']	[2]	['3.20e-05']	[0.368]	[0.644]	NA	-1
k63_678796	k63_678796@1	3	908	False	17%	0%	I-E	4.0	['Cse2gr11_1_CAS-I-E']	[1]	['7.90e-03']	[0.318]	[0.42]	-1	NA
k63_1304917	k63_1304917@1	217	822	False	0%	0%	I-A	0.0	['Csa3_1_CAS-I-II-III-IV-V-VI']	[1]	['1.20e-07']	[0.342]	[0.525]	NA	NA
k63_753161	k63_753161@1	2206	3291	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[3]	['2.20e-03']	[0.34]	[0.433]	NA	NA
k63_972789	k63_972789@1	1848	2618	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[2]	['1.80e-06']	[0.58]	[0.458]	NA	NA
k63_110852	k63_110852@1	4693	5538	False	0%	NA	IV-B	3.0	['CysH_0_IVB']	[5]	['6.60e-12']	[0.56]	[0.61]	NA	NA
k63_1210996	k63_1210996@1	907	4779	False	0%	0%	I-C	1.0	['HEAT_CxxC_PDDEXK_0_CAS-I-C']	[2]	['1.80e-13']	[0.445]	[0.389]	NA	NA
k63_1368907	k63_1368907@1	3195	4133	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[4]	['4.80e-06']	[0.31]	[0.331]	NA	NA
k63_1286759	k63_1286759@1	9763	10581	False	0%	0%	I-A	0.0	['2OG_1_CAS-I-II-III-IV-V-VI']	[11]	['1.50e-03']	[0.388]	[0.851]	NA	NA
k63_1397942	k63_1397942@1	732	1436	False	0%	NA	III-B	1.0	['TPR_1_CAS-III-B']	[2]	['1.30e-06']	[0.719]	[0.318]	NA	NA
k63_1419962	k63_1419962@1	1516	2403	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[3]	['5.00e-06']	[0.419]	[0.426]	NA	NA
k63_883408	k63_883408@1	6527	7174	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[5]	['3.20e-04']	[0.426]	[0.32]	NA	NA
k63_652988	k63_652988@1	7943	10788	False	0%	NA	III-B	1.0	['2OG_1_CAS-I-II-III-IV-V-VI', 'TPR_0_CAS-III-B']	[10, 12]	['2.10e-03', '2.20e-05']	[0.437, 0.422]	[0.872, 0.307]	NA	NA
k63_140843	k63_140843@1	9176	9985	False	0%	0%	I-A	0.0	['2OG_1_CAS-I-II-III-IV-V-VI']	[7]	['9.30e-05']	[0.4]	[0.862]	NA	NA
k63_1205611	k63_1205611@1	7992	9398	False	0%	0%	I-C	1.0	['HEAT_CxxC_PDDEXK_0_CAS-I-C']	[9]	['1.70e-10']	[0.318]	[0.372]	NA	NA
k63_1501326	k63_1501326@1	1460	2317	False	0%	NA	III-B	1.0	['TPR_0_CAS-III-B']	[2]	['3.10e-05']	[0.818]	[0.508]	NA	NA
k63_1538629	k63_1538629@1	779	1873	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[2]	['4.10e-06']	[0.395]	[0.518]	NA	NA
k63_481463	k63_481463@1	2526	3362	False	0%	0%	I-A	0.0	['2OG_1_CAS-I-II-III-IV-V-VI']	[3]	['3.60e-06']	[0.423]	[0.947]	NA	NA
k63_900839	k63_900839@1	14	718	False	0%	0%	I-A	0.0	['2OG_1_CAS-I-II-III-IV-V-VI']	[1]	['1.60e-04']	[0.421]	[0.904]	NA	NA
k63_934255	k63_934255@1	101	790	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[1]	['1.20e-04']	[0.557]	[0.437]	NA	NA
k63_220619	k63_220619@1	3691	4308	False	0%	NA	III-B	1.0	['TPR_0_CAS-III-B']	[3]	['1.50e-12']	[0.748]	[0.32]	NA	NA
k63_1502195	k63_1502195@1	308	913	False	0%	0%	I-A	0.0	['PD_DExK_1_CAS-I-II-III-IV-V-VI']	[2]	['4.70e-62']	[0.985]	[0.961]	NA	NA
k63_647227	k63_647227@1	801	1589	False	0%	NA	III-B	1.0	['HTH_0_CAS-III-B']	[3]	['1.80e-03']	[0.456]	[0.392]	NA	NA
k63_326396	k63_326396@1	89	763	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[2]	['4.90e-04']	[0.404]	[0.303]	NA	NA
