Hmm	ORF	tlen	qlen	Eval	score	start	end	Acc	Pos	Cov_seq	Cov_hmm	strand
AbiEii_0_CAS-III	k63_1288539_5	253	284	1.7e-07	27.6	3260	4018	k63_1288539	5	0.38735177865612647	0.323943661971831	-1
AbiEii_0_CAS-III	k63_1294773_2	382	284	0.013	11.5	664	1809	k63_1294773	2	0.17015706806282724	0.22183098591549297	-1
AbiEii_0_CAS-III	k63_1355770_1	243	284	0.012	11.7	2	730	k63_1355770	1	0.07818930041152264	0.06690140845070422	1
AbiEii_0_CAS-III	k63_1420122_1	310	284	2.4e-10	36.9	87	1016	k63_1420122	1	0.3548387096774194	0.3626760563380282	1
AbiEii_0_CAS-III	k63_1562203_2	332	284	6.6e-05	19.1	525	1520	k63_1562203	2	0.35843373493975905	0.4084507042253521	1
AbiEii_0_CAS-III	k63_1694551_10	242	284	1.1e-05	21.7	6583	7308	k63_1694551	10	0.3181818181818182	0.2852112676056338	1
AbiEii_0_CAS-III	k63_23399_3	346	284	0.0024	14.0	1073	2110	k63_23399	3	0.08092485549132948	0.10211267605633803	1
AbiEii_0_CAS-III	k63_292481_6	351	284	0.0019	14.3	3166	4218	k63_292481	6	0.06837606837606838	0.08450704225352113	-1
AbiEii_0_CAS-III	k63_30621_3	369	284	0.0016	14.5	1641	2747	k63_30621	3	0.23577235772357724	0.2992957746478873	-1
AbiEii_0_CAS-III	k63_31268_2	257	284	4.3e-07	26.3	827	1597	k63_31268	2	0.49416342412451364	0.36971830985915494	1
AbiEii_0_CAS-III	k63_374111_4	151	284	0.0071	12.4	4372	4824	k63_374111	4	0.10596026490066225	0.056338028169014086	1
AbiEii_0_CAS-III	k63_406856_4	308	284	0.015	11.4	2858	3781	k63_406856	4	0.05519480519480519	0.05985915492957746	-1
AbiEii_0_CAS-III	k63_554492_2	437	284	0.0078	12.3	557	1867	k63_554492	2	0.18993135011441648	0.29225352112676056	1
AbiEii_0_CAS-III	k63_682771_1	392	284	0.037	10.1	3	1178	k63_682771	1	0.39540816326530615	0.4084507042253521	1
AbiEii_0_CAS-III	k63_712146_3	354	284	3.1e-08	30.0	3091	4152	k63_712146	3	0.3898305084745763	0.4753521126760563	-1
AbiEii_0_CAS-III	k63_944672_2	542	284	0.00015	17.9	366	1991	k63_944672	2	0.14944649446494465	0.2711267605633803	1
AbiEii_0_CAS-III	k63_987752_1	511	284	0.0017	14.4	3	1535	k63_987752	1	0.11741682974559686	0.20774647887323944	-1
AbiEii_1_CAS-III-A	k63_1420122_1	310	335	0.005	12.5	87	1016	k63_1420122	1	0.11612903225806452	0.10746268656716418	1
AbiEii_2_CAS-III-C	k63_712146_3	354	440	3.6e-05	19.7	3091	4152	k63_712146	3	0.13559322033898305	0.10909090909090909	-1
Cas10_1_CAS-III	k63_945559_4	371	654	0.015	10.3	2796	3908	k63_945559	4	0.1105121293800539	0.06269113149847094	1
Cas13a_0_VIA	k63_1288539_9	197	167	0.0028	14.5	6589	7179	k63_1288539	9	0.3401015228426396	0.3473053892215569	-1
Cas3HD_0_CAS-I	k63_945559_4	371	203	0.00042	16.7	2796	3908	k63_945559	4	0.0673854447439353	0.1477832512315271	1
Cas3_0_CAS-I	k63_1640227_1	773	353	3e-10	36.2	3	2321	k63_1640227	1	0.32729624838292365	0.7507082152974505	1
Cas3_0_CAS-I-D	k63_1444658_1	607	626	0.00042	15.1	91	1911	k63_1444658	1	0.27347611202635913	0.268370607028754	1
Cas3_0_CAS-I-D	k63_952049_1	478	626	7.7e-08	27.5	138	1571	k63_952049	1	0.10669456066945607	0.08306709265175719	1
Cas3_0_I	k63_1640227_1	773	358	1.1e-08	31.0	3	2321	k63_1640227	1	0.2690815006468305	0.6033519553072626	1
Cas3_0_ID	k63_1294773_2	382	357	0.014	10.9	664	1809	k63_1294773	2	0.15968586387434555	0.15126050420168066	-1
Cas3_0_ID	k63_952049_1	478	357	0.0015	14.1	138	1571	k63_952049	1	0.18619246861924685	0.24369747899159663	1
Cas3_1_CAS-I	k63_952049_1	478	745	0.001	13.9	138	1571	k63_952049	1	0.16527196652719664	0.10738255033557047	1
Cas3_1_CAS-I-D	k63_1444658_1	607	353	0.011	11.4	91	1911	k63_1444658	1	0.2158154859967051	0.37393767705382436	1
Cas3_1_CAS-I-D	k63_952049_1	478	353	0.00051	15.7	138	1571	k63_952049	1	0.200836820083682	0.26628895184135976	1
Cas3_1_I	k63_945559_4	371	178	0.00022	17.8	2796	3908	k63_945559	4	0.29649595687331537	0.7528089887640449	1
Cas3_2_CAS-I	k63_1640227_1	773	967	0.0027	12.3	3	2321	k63_1640227	1	0.08796895213454076	0.06618407445708377	1
Cas3d_1_CAS-I-D	k63_1444658_1	607	627	3e-05	19.0	91	1911	k63_1444658	1	0.3031301482701812	0.2902711323763955	1
Cas3d_1_CAS-I-D	k63_364701_1	301	627	0.0029	12.4	3	905	k63_364701	1	0.12956810631229235	0.06220095693779904	1
Cas4_5_CAS-I-II-III-IV-V-VI	k63_961623_2	505	161	9.8e-05	19.1	491	2005	k63_961623	2	0.24752475247524752	0.6645962732919255	1
Cas6_0_IF	k63_681162_3	467	184	0.014	11.8	2934	4334	k63_681162	3	0.3811563169164882	0.5217391304347826	-1
Cas8a1_0_IA	k63_1256552_1	73	152	0.0051	13.7	3	221	k63_1256552	1	0.589041095890411	0.2894736842105263	-1
Cas8b1_11_CAS-I-B	k63_1098361_2	192	503	0.003	12.7	460	1035	k63_1098361	2	0.3385416666666667	0.12326043737574553	1
Cas8b3_1_CAS-I-B	k63_1256552_1	73	152	0.0047	13.7	3	221	k63_1256552	1	0.589041095890411	0.2894736842105263	-1
Cas8c_0_IC	k63_533803_3	388	588	0.014	10.3	3652	4815	k63_533803	3	0.23969072164948454	0.1598639455782313	-1
Cas9_0_II	k63_1347192_6	191	830	0.00011	17.2	2841	3413	k63_1347192	6	0.3089005235602094	0.0783132530120482	-1
Cas9_0_II	k63_720060_3	395	830	5.7e-05	18.1	1110	2294	k63_720060	3	0.1189873417721519	0.056626506024096385	1
Cas9_0_II-C2	k63_1347192_6	191	967	3.6e-15	51.7	2841	3413	k63_1347192	6	0.39267015706806285	0.07755946225439504	-1
Cas9_0_II-C2	k63_720060_3	395	967	2.7e-06	22.3	1110	2294	k63_720060	3	0.1848101265822785	0.07135470527404343	1
Cas9_0_II-C2	k63_775647_4	185	967	0.0067	11.1	1927	2481	k63_775647	4	0.5513513513513514	0.09720785935884178	-1
Cas9_0_II-D	k63_1347192_6	191	853	3.2e-18	62.0	2841	3413	k63_1347192	6	0.2931937172774869	0.06447831184056271	-1
Cas9_1_II	k63_720060_3	395	1120	0.0011	13.6	1110	2294	k63_720060	3	0.15443037974683543	0.05267857142857143	1
