Contig	Start	End	Strand	Pos
k63_1520900	2	607	-1	1
k63_1520900	754	1296	1	2
k63_1520900	1293	1589	1	3
k63_1053118	2	652	-1	1
k63_1053118	690	1484	-1	2
k63_1053118	1539	2204	-1	3
k63_1053118	2201	2875	-1	4
k63_1053574	1	174	1	1
k63_1053574	179	745	-1	2
k63_1053574	860	1474	1	3
k63_1053574	1485	2921	-1	4
k63_937081	12	1835	-1	1
k63_937081	2021	2305	-1	2
k63_937081	2389	3051	-1	3
k63_937081	3166	4245	1	4
k63_1288539	2	220	-1	1
k63_1288539	224	673	-1	2
k63_1288539	679	1941	-1	3
k63_1288539	1938	3263	-1	4
k63_1288539	3260	4018	-1	5
k63_1288539	4015	5463	-1	6
k63_1288539	5467	5823	-1	7
k63_1288539	5927	6376	-1	8
k63_1288539	6589	7179	-1	9
k63_1288539	7298	7513	1	10
k63_1522915	1	2688	-1	1
k63_118736	2	895	1	1
k63_118736	974	1555	1	2
k63_118736	1775	2320	1	3
k63_1288885	1	1410	-1	1
k63_1288885	1584	2942	-1	2
k63_1640227	3	2321	1	1
k63_1640449	3	1037	1	1
k63_1640449	1122	2270	1	2
k63_1640449	2260	3510	-1	3
k63_1523819	3	353	-1	1
k63_1523819	391	1248	-1	2
k63_1523819	1441	1707	1	3
k63_1523819	1739	3592	-1	4
k63_1640944	1	600	1	1
k63_1640944	600	1682	1	2
k63_1640944	1719	3110	1	3
k63_1640944	3110	4108	1	4
k63_1055967	1	168	-1	1
k63_1055967	495	1292	1	2
k63_1055967	1311	2261	1	3
k63_1055967	2303	2410	-1	4
k63_355185	132	878	-1	1
k63_355185	875	2425	-1	2
k63_355185	2425	3561	-1	3
k63_355335	3	1007	1	1
k63_355335	1091	1345	1	2
k63_355335	1671	1916	1	3
k63_1524228	1	126	-1	1
k63_1524228	123	347	-1	2
k63_1524228	347	1327	-1	3
k63_1524228	1586	2668	-1	4
k63_1524228	2699	3601	-1	5
k63_1524228	3720	5261	1	6
k63_1524228	5273	8632	1	7
k63_473132	6	650	-1	1
k63_473132	686	1942	-1	2
k63_473132	1939	2985	-1	3
k63_473132	2993	3595	-1	4
k63_120060	2	718	1	1
k63_120060	694	1509	1	2
k63_120060	1619	2371	1	3
k63_1405795	288	632	1	1
k63_1405795	664	2034	1	2
k63_1405795	2031	3308	1	3
k63_823845	2	1036	-1	1
k63_823845	1110	2633	-1	2
k63_940062	3	149	-1	1
k63_940062	165	854	-1	2
k63_940062	856	1302	-1	3
k63_940062	1338	1871	-1	4
k63_940062	1871	2242	-1	5
k63_120214	3	518	1	1
k63_120214	562	1830	1	2
k63_120214	1861	2790	-1	3
k63_120214	2919	3443	-1	4
k63_120214	3502	3735	-1	5
k63_120214	3880	4311	1	6
k63_1172214	2	202	1	1
k63_1172214	176	805	-1	2
k63_1172214	840	1403	1	3
k63_1172214	1405	1692	1	4
k63_1172214	1701	2510	1	5
k63_1172214	2488	2706	-1	6
k63_940373	1	168	1	1
k63_940373	200	445	1	2
k63_940373	529	1782	1	3
k63_940373	1854	1994	1	4
k63_355941	3	1019	-1	1
k63_355941	1303	1530	1	2
k63_355941	2069	2806	1	3
k63_355941	2823	4661	-1	4
k63_355941	4779	5462	-1	5
k63_473926	2	1846	-1	1
k63_237192	3	635	-1	1
k63_237192	778	1206	-1	2
k63_237192	1259	1660	1	3
k63_237192	1653	3473	1	4
k63_237192	3470	4042	1	5
k63_237192	4214	4654	1	6
k63_237192	4660	5130	1	7
k63_237192	5190	6533	1	8
k63_237192	6551	7198	1	9
k63_1642066	2	244	1	1
k63_1642066	252	830	-1	2
k63_1642066	856	2181	-1	3
k63_1642066	2226	2543	-1	4
k63_1642066	2622	2714	1	5
k63_1291036	3	377	-1	1
k63_1291036	458	1189	-1	2
k63_1291036	1322	1819	-1	3
k63_474498	2	733	-1	1
k63_474498	730	1407	-1	2
k63_474498	1391	2029	-1	3
k63_4830	1	801	1	1
k63_4830	1041	2003	-1	2
k63_4830	2039	2536	-1	3
k63_4830	2554	3162	-1	4
k63_1058074	291	617	1	1
k63_1058074	762	1808	-1	2
k63_825703	3	1727	-1	1
k63_5069	2	1150	-1	1
k63_5069	1186	2946	-1	2
k63_5069	2986	3630	-1	3
k63_5069	3800	4171	-1	4
k63_5069	4321	4674	-1	5
k63_1292188	3	755	-1	1
k63_1292188	782	1144	-1	2
k63_1292188	1162	2379	-1	3
k63_238234	2	613	-1	1
k63_238234	864	1487	1	2
k63_238234	1538	2194	-1	3
k63_238234	2236	3624	-1	4
k63_238234	3621	4472	-1	5
k63_238234	4810	5367	1	6
k63_826773	2	346	1	1
k63_826773	830	1393	-1	2
k63_826773	1377	2492	-1	3
k63_942998	2	1321	1	1
k63_942998	1339	1539	1	2
k63_476125	1	1353	-1	1
k63_476125	1367	2020	-1	2
k63_6431	202	1800	1	1
k63_476377	219	872	-1	1
k63_476377	901	1089	-1	2
k63_476377	1271	1480	-1	3
k63_476377	1627	2382	-1	4
k63_476377	2502	2777	-1	5
k63_238912	3	221	-1	1
k63_238912	228	1016	-1	2
k63_238912	976	1938	-1	3
k63_238912	1958	2941	-1	4
k63_827920	2	277	-1	1
k63_827920	406	1323	-1	2
k63_827920	1328	1795	-1	3
k63_827920	1792	2547	-1	4
k63_827920	2544	4076	-1	5
k63_827920	4484	4750	1	6
k63_827920	4751	4954	1	7
k63_1294198	3	209	1	1
k63_1294198	216	704	1	2
k63_1294198	710	2065	-1	3
k63_1294198	2080	2934	1	4
k63_1294198	3029	3256	1	5
k63_1528084	1	603	1	1
k63_1528084	748	1302	1	2
k63_1528084	1324	1740	1	3
k63_944672	1	120	1	1
k63_944672	366	1991	1	2
k63_1294773	2	667	-1	1
k63_1294773	664	1809	-1	2
k63_239448	139	267	1	1
k63_239448	267	1370	1	2
k63_239448	1387	1608	1	3
k63_239448	1622	2542	1	4
k63_1061008	2	1837	1	1
k63_1061008	2144	2545	1	2
k63_945218	3	605	-1	1
k63_945218	778	1524	-1	2
k63_945218	1698	2024	1	3
k63_1175582	3	1514	-1	1
k63_1175582	1699	1965	1	2
k63_1175582	2040	3176	-1	3
k63_945559	281	418	1	1
k63_945559	552	1847	1	2
k63_945559	1863	2783	1	3
