Contig	Start	End	Strand	Pos
k83_16989	3	680	-1	1
k83_16989	673	1614	-1	2
k83_16989	1611	2165	-1	3
k83_17190	161	340	-1	1
k83_17190	499	1509	1	2
k83_17190	1543	1833	1	3
k83_26602	1	78	1	1
k83_26602	88	1509	1	2
k83_26602	1506	1964	1	3
k83_26602	1961	3172	1	4
k83_26602	3393	3641	1	5
k83_26602	3861	4052	-1	6
k83_26602	4182	4439	1	7
k83_26602	4486	5871	-1	8
k83_26602	6468	6698	1	9
k83_33329	3	140	1	1
k83_33329	137	928	1	2
k83_33329	925	2229	1	3
k83_33329	2552	2716	1	4
k83_41563	1	1044	1	1
k83_41563	1061	1855	-1	2
k83_41862	203	835	1	1
k83_41862	1047	1820	-1	2
k83_41862	1885	2025	-1	3
k83_43316	3	1604	1	1
k83_43316	1582	1953	1	2
k83_43316	2044	2457	1	3
k83_43755	523	3309	-1	1
k83_43755	3332	3547	-1	2
k83_43755	3553	3798	-1	3
k83_60058	35	2026	1	1
k83_65994	3	194	1	1
k83_65994	352	2175	1	2
k83_65994	2172	3611	-1	3
k83_65994	3693	4067	-1	4
k83_65994	4452	5567	1	5
k83_65994	5576	5989	-1	6
k83_65994	5998	6576	-1	7
k83_65994	6605	7036	-1	8
k83_65994	7033	7506	-1	9
k83_65994	7509	8039	-1	10
k83_65994	8050	8850	-1	11
k83_65994	8893	8964	-1	12
k83_73571	32	322	-1	1
k83_73571	384	983	-1	2
k83_73571	1055	1429	-1	3
k83_74479	91	2022	-1	1
k83_74479	2309	2581	-1	2
k83_74479	2671	3258	-1	3
k83_74479	3594	4043	1	4
k83_74479	4107	6593	1	5
k83_74479	6612	7328	1	6
k83_74479	7330	8382	1	7
k83_74479	8403	9200	1	8
k83_74479	9203	10483	1	9
k83_76124	3	239	1	1
k83_76124	375	701	1	2
k83_76124	765	1130	1	3
k83_76124	1317	1721	-1	4
k83_76124	2022	4682	1	5
k83_82364	2	160	1	1
k83_82364	157	1494	1	2
k83_82364	1558	1677	1	3
k83_82767	1	315	1	1
k83_82767	412	1098	1	2
k83_82767	1119	1448	1	3
k83_82767	1504	1680	1	4
k83_89965	1	258	-1	1
k83_89965	470	1600	-1	2
k83_89965	1635	1745	-1	3
k83_89965	1745	3460	-1	4
k83_91210	49	321	1	1
k83_91210	372	653	1	2
k83_91210	660	1181	1	3
k83_91210	1183	1950	1	4
k83_91210	1972	2370	1	5
k83_91644	2	544	1	1
k83_91644	780	929	1	2
k83_91644	1142	1510	1	3
k83_91701	2	964	-1	1
k83_91701	958	2295	-1	2
k83_91701	2369	3298	-1	3
k83_92796	2	70	-1	1
k83_92796	117	482	1	2
k83_92796	486	887	1	3
k83_92796	905	1294	1	4
k83_92796	1291	1794	1	5
k83_92796	1798	2181	1	6
k83_92796	2194	2535	1	7
k83_92796	2532	2993	1	8
k83_92796	2959	3117	1	9
k83_101539	1	237	-1	1
k83_101539	234	1517	-1	2
k83_103658	3	797	1	1
k83_103658	837	1736	1	2
k83_103658	1796	2074	1	3
k83_103658	2094	3095	1	4
k83_103658	3245	3565	-1	5
k83_103658	3769	4971	1	6
k83_103658	5079	5285	1	7
k83_103658	5307	5495	1	8
k83_103658	5539	6426	1	9
k83_103658	6665	7198	-1	10
k83_103658	7369	7662	-1	11
k83_103658	7686	8075	-1	12
k83_103658	8122	8253	-1	13
k83_105264	1	522	-1	1
k83_105264	626	2158	1	2
k83_105264	2321	2998	1	3
k83_111412	1	783	1	1
k83_111412	1079	2155	1	2
k83_111412	2160	3152	1	3
k83_112942	1	333	1	1
k83_112942	357	1457	-1	2
k83_112942	1460	2095	-1	3
k83_114004	58	297	-1	1
k83_114004	347	1105	-1	2
k83_114004	1235	2257	-1	3
k83_114004	2254	3129	-1	4
k83_114004	3129	3227	-1	5
k83_115302	180	680	1	1
k83_115302	640	1371	-1	2
k83_115302	1388	2161	-1	3
k83_115302	2281	3072	1	4
k83_115302	3209	5314	-1	5
k83_121224	105	1223	1	1
k83_121224	1250	2062	1	2
k83_121224	2088	2369	1	3
k83_121224	2410	3663	1	4
k83_121224	3757	4590	1	5
k83_121224	4624	5121	1	6
k83_121224	5131	5373	1	7
k83_125265	2	241	-1	1
k83_125265	447	1817	1	2
k83_125530	2	988	-1	1
k83_125530	1139	1711	-1	2
k83_125530	1742	5440	-1	3
k83_136105	3	290	-1	1
k83_136105	336	2087	-1	2
k83_137852	25	522	-1	1
k83_137852	519	1379	-1	2
k83_137852	1521	2222	-1	3
k83_145194	3	359	-1	1
k83_145194	464	1255	-1	2
k83_145194	1284	1688	-1	3
k83_146494	2	682	1	1
k83_146494	714	1109	1	2
k83_146494	1437	1607	-1	3
k83_146494	1661	3190	1	4
k83_146494	3211	3819	1	5
k83_146494	3874	4770	-1	6
k83_146494	4975	5055	1	7
k83_146764	2	259	-1	1
k83_146764	247	1164	-1	2
