Contig	Operon	Start	End	Prediction	Complete_Interference	Complete_Adaptation	Best_type	Best_score	Genes	Positions	E-values	CoverageSeq	CoverageHMM	Strand_Interference	Strand_Adaptation
k141_5067	k141_5067@4	87468	87842	False	0%	0%	I-A	0.0	['Csa3_1_CAS-I-II-III-IV-V-VI']	[94]	['7.40e-16']	[0.664]	[0.746]	NA	NA
k141_7003	k141_7003@1	5573	6373	False	14%	0%	I-A	2.0	['Cas6_7_CAS-I-II-III-IV-V-VI']	[7]	['1.20e-26']	[0.94]	[0.988]	1	NA
k141_3021	k141_3021@4	144253	146445	False	0%	NA	III-B	1.0	['TPR_0_CAS-III-B']	[132]	['2.20e-21']	[0.49]	[0.482]	NA	NA
k141_877	k141_877@1	20920	27928	False	0%	NA	III-B	1.0	['TPR_0_CAS-III-B', 'TPR_0_CAS-III-B']	[13, 16]	['2.60e-09', '1.90e-24']	[0.32, 0.52]	[0.359, 0.418]	NA	NA
k141_5698	k141_5698@1	15797	17908	False	0%	NA	III-B	1.0	['TPR_0_CAS-III-B']	[11]	['4.60e-18']	[0.554]	[0.592]	NA	NA
k141_3178	k141_3178@3	58382	58819	False	0%	0%	I-A	0.0	['Csa3_1_CAS-I-II-III-IV-V-VI']	[48]	['1.30e-03']	[0.514]	[0.568]	NA	NA
k141_6086	k141_6086@1	113995	116958	False	0%	NA	III-B	1.0	['TPR_0_CAS-III-B']	[121]	['2.20e-08']	[0.35]	[0.557]	NA	NA
k141_3021	k141_3021@2	118035	118679	False	0%	33%	I-A	1.0	['Cas4_0_I-II']	[113]	['1.20e-03']	[0.572]	[0.65]	NA	1
k141_4908	k141_4908@2	117850	118155	False	0%	NA	III-B	1.0	['HTH_0_CAS-III-B']	[97]	['1.10e-04']	[0.765]	[0.369]	NA	NA
k141_3021	k141_3021@1	10950	13959	False	0%	NA	III-B	1.0	['TPR_1_CAS-III-B', '2OG_1_CAS-I-II-III-IV-V-VI']	[14, 16]	['3.00e-03', '8.20e-22']	[0.663, 0.419]	[0.482, 0.979]	NA	NA
k141_826	k141_826@2	159426	160628	False	14%	0%	I-A	2.0	['Cas3_0_CAS-I']	[126]	['1.90e-15']	[0.753]	[0.901]	1	NA
k141_877	k141_877@5	212545	212919	False	0%	0%	I-A	0.0	['Csa3_1_CAS-I-II-III-IV-V-VI']	[217]	['2.00e-14']	[0.712]	[0.797]	NA	NA
k141_3759	k141_3759@2	39384	40304	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[37]	['1.80e-08']	[0.397]	[0.342]	NA	NA
k141_3021	k141_3021@5	167821	169185	False	0%	0%	I-A	0.0	['DEDDh_0_CAS-I-II-III-IV-V-VI']	[154]	['3.60e-43']	[0.338]	[0.988]	NA	NA
k141_6141	k141_6141@1	14789	16675	False	0%	NA	III-B	1.0	['TPR_0_CAS-III-B']	[8]	['1.40e-18']	[0.445]	[0.492]	NA	NA
k141_7064	k141_7064@1	21631	22530	False	29%	0%	I-A	2.0	['Cas3HD_0_CAS-I']	[13]	['6.60e-04']	[0.343]	[0.355]	1	NA
k141_877	k141_877@6	231929	232447	False	0%	NA	III-A	1.0	['Csm6_6_CAS-III']	[236]	['3.90e-04']	[0.416]	[0.515]	NA	NA
k141_6086	k141_6086@2	142110	143384	False	0%	NA	III-B	1.0	['TPR_0_CAS-III-B']	[145]	['2.70e-09']	[0.647]	[0.355]	NA	NA
k141_826	k141_826@4	189473	190771	False	14%	0%	I-A	2.0	['Cas3_0_CAS-I']	[158]	['3.30e-09']	[0.691]	[0.924]	1	NA
k141_877	k141_877@8	266630	267358	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[273]	['1.80e-04']	[0.391]	[0.31]	NA	NA
k141_7064	k141_7064@4	155621	157639	False	0%	NA	III-B	1.0	['TPR_0_CAS-III-B']	[122]	['3.60e-13']	[0.403]	[0.391]	NA	NA
k141_7003	k141_7003@2	12025	13938	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[13]	['2.10e-05']	[0.37]	[0.398]	NA	NA
k141_6086	k141_6086@4	566817	568751	False	0%	NA	III-B	1.0	['TPR_0_CAS-III-B']	[506]	['2.40e-15']	[0.502]	[0.535]	NA	NA
k141_3021	k141_3021@7	289188	290093	False	0%	NA	IV-B	3.0	['CysH_0_IVB']	[248]	['9.90e-22']	[0.566]	[0.671]	NA	NA
k141_6812	k141_6812@1	21212	21901	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[14]	['1.30e-06']	[0.587]	[0.479]	NA	NA
k141_3714	k141_3714@3	45672	46475	False	0%	0%	I-A	0.0	['DEDDh_0_CAS-I-II-III-IV-V-VI']	[42]	['1.50e-33']	[0.578]	[0.988]	NA	NA
k141_3454	k141_3454@1	3806	4465	False	0%	NA	IV-B	3.0	['CysH_0_IVB']	[7]	['4.90e-10']	[0.75]	[0.663]	NA	NA
k141_3670	k141_3670@2	113975	114970	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[99]	['5.30e-07']	[0.38]	[0.433]	NA	NA
k141_3670	k141_3670@3	156146	160089	False	0%	0%	I-A	0.0	['CasR_1_CAS-I-II-III-IV-V-VI', 'Csa3_1_CAS-I-II-III-IV-V-VI']	[133, 137]	['2.60e-05', '2.00e-06']	[0.402, 0.624]	[0.303, 0.542]	NA	NA
k141_5776	k141_5776@1	16543	17079	False	0%	0%	I-A	0.0	['CasR_1_CAS-I-II-III-IV-V-VI']	[20]	['3.80e-06']	[0.358]	[0.307]	NA	NA
k141_4908	k141_4908@4	181612	182010	False	0%	33%	I-A	2.0	['Cas2_4_CAS-I-II-III-IV-V-VI']	[149]	['6.40e-03']	[0.489]	[0.685]	NA	1
k141_826	k141_826@3	184385	184855	False	0%	NA	III-D	3.0	['Csx26_0_CAS-III-D']	[151]	['6.30e-04']	[0.51]	[0.681]	NA	NA
k141_4908	k141_4908@3	144826	145515	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[121]	['1.50e-06']	[0.674]	[0.549]	NA	NA
